                  1         2         3         4         5         6         7         8         9
  3.00E-01  5.14E-07  2.00E-07  1.02E-06  1.35E-06  8.04E-07  2.82E-06  4.04E-06  4.53E-06  3.33E-07
  3.38E-01  4.97E-07  1.90E-07  9.66E-07  1.27E-06  7.60E-07  2.67E-06  3.86E-06  4.39E-06  3.25E-07
  3.81E-01  4.83E-07  1.82E-07  9.17E-07  1.20E-06  7.18E-07  2.52E-06  3.68E-06  4.25E-06  3.18E-07
  4.29E-01  4.72E-07  1.74E-07  8.73E-07  1.14E-06  6.80E-07  2.39E-06  3.50E-06  4.11E-06  3.10E-07
  4.81E-01  4.62E-07  1.68E-07  8.33E-07  1.08E-06  6.43E-07  2.26E-06  3.33E-06  3.96E-06  3.01E-07
  5.40E-01  4.55E-07  1.62E-07  7.98E-07  1.03E-06  6.10E-07  2.14E-06  3.16E-06  3.81E-06  2.92E-07
  6.04E-01  4.48E-07  1.58E-07  7.67E-07  9.78E-07  5.78E-07  2.02E-06  3.00E-06  3.65E-06  2.83E-07
  6.75E-01  4.43E-07  1.54E-07  7.41E-07  9.33E-07  5.49E-07  1.92E-06  2.85E-06  3.50E-06  2.74E-07
  7.52E-01  4.39E-07  1.51E-07  7.18E-07  8.93E-07  5.22E-07  1.81E-06  2.70E-06  3.35E-06  2.65E-07
  8.38E-01  4.34E-07  1.48E-07  6.99E-07  8.58E-07  4.98E-07  1.72E-06  2.56E-06  3.20E-06  2.55E-07
  9.31E-01  4.30E-07  1.46E-07  6.83E-07  8.27E-07  4.76E-07  1.63E-06  2.43E-06  3.05E-06  2.45E-07
  1.03E+00  4.25E-07  1.44E-07  6.69E-07  8.00E-07  4.56E-07  1.55E-06  2.30E-06  2.91E-06  2.36E-07
  1.15E+00  4.21E-07  1.42E-07  6.57E-07  7.77E-07  4.39E-07  1.48E-06  2.18E-06  2.77E-06  2.26E-07
  1.27E+00  4.16E-07  1.40E-07  6.47E-07  7.57E-07  4.24E-07  1.41E-06  2.07E-06  2.64E-06  2.17E-07
  1.40E+00  4.11E-07  1.38E-07  6.37E-07  7.40E-07  4.11E-07  1.34E-06  1.96E-06  2.52E-06  2.08E-07
  1.54E+00  4.05E-07  1.37E-07  6.28E-07  7.25E-07  3.99E-07  1.29E-06  1.87E-06  2.40E-06  2.00E-07
  1.70E+00  3.99E-07  1.35E-07  6.19E-07  7.12E-07  3.89E-07  1.24E-06  1.77E-06  2.29E-06  1.92E-07
  1.86E+00  3.93E-07  1.33E-07  6.10E-07  6.99E-07  3.81E-07  1.20E-06  1.69E-06  2.19E-06  1.85E-07
  2.04E+00  3.86E-07  1.31E-07  6.00E-07  6.88E-07  3.73E-07  1.16E-06  1.61E-06  2.11E-06  1.79E-07
  2.24E+00  3.79E-07  1.28E-07  5.91E-07  6.77E-07  3.67E-07  1.13E-06  1.55E-06  2.04E-06  1.76E-07
  2.45E+00  3.72E-07  1.26E-07  5.82E-07  6.67E-07  3.61E-07  1.11E-06  1.50E-06  2.01E-06  1.76E-07
  2.67E+00  3.65E-07  1.24E-07  5.73E-07  6.60E-07  3.57E-07  1.09E-06  1.47E-06  2.02E-06  1.83E-07
  2.91E+00  3.58E-07  1.22E-07  5.67E-07  6.56E-07  3.57E-07  1.09E-06  1.47E-06  2.10E-06  1.98E-07
  3.17E+00  3.55E-07  1.22E-07  5.68E-07  6.61E-07  3.62E-07  1.12E-06  1.51E-06  2.24E-06  2.22E-07
  3.44E+00  3.47E-07  1.20E-07  5.62E-07  6.60E-07  3.64E-07  1.14E-06  1.55E-06  2.37E-06  2.44E-07
  3.73E+00  3.39E-07  1.18E-07  5.57E-07  6.60E-07  3.67E-07  1.16E-06  1.61E-06  2.50E-06  2.71E-07
  4.03E+00  3.31E-07  1.17E-07  5.53E-07  6.64E-07  3.72E-07  1.20E-06  1.70E-06  2.66E-06  3.06E-07
  4.36E+00  3.24E-07  1.15E-07  5.53E-07  6.73E-07  3.82E-07  1.26E-06  1.83E-06  2.89E-06  3.54E-07
