 NST=     1

  J  RHR Solar (K/s)  RHR Thermal (K/s)
 76   1.004E-06   4.046E-06
 77   9.773E-07   3.734E-06
 78   9.494E-07   3.440E-06
 79   9.208E-07   3.148E-06
 80   8.932E-07   2.829E-06
 81   4.979E-07   2.090E-06
 82   4.960E-07   2.038E-06
 83   1.710E-05   1.116E-04
 84   2.739E-06   1.407E-07
 85   1.323E-06   2.640E-06
 86   1.755E-06   4.528E-06
 87   1.991E-06   6.322E-06
 88   2.337E-06   7.614E-06
 89   2.514E-06   8.369E-06
 90   2.860E-06   8.704E-06
 91   3.318E-06   8.726E-06
 92   3.388E-06   8.783E-06
 93   3.388E-06   8.854E-06
 94   3.456E-06   8.680E-06
 95   3.525E-06   8.286E-06
 96   3.415E-06   7.497E-06
 97   3.346E-06   6.537E-06
 98   3.156E-06   5.901E-06
 99   2.983E-06   5.285E-06
100   2.758E-06   4.189E-06
101   2.681E-08   7.776E-08
 NST=     6

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   1.928E-03   2.639E-03
  3   1.575E-03   2.568E-03
  4   1.262E-03   1.449E-03
  5   9.981E-04   4.031E-05
  6   7.766E-04   1.378E-03
  7   5.870E-04   6.249E-04
  8   4.280E-04   5.962E-04
  9   2.977E-04   5.048E-04
 10   1.967E-04   3.834E-04
 11   1.238E-04   3.542E-04
 12   7.536E-05   3.067E-04
 13   4.624E-05   2.741E-04
 14   3.063E-05   2.407E-04
 15   2.329E-05   2.111E-04
 16   2.022E-05   1.816E-04
 17   1.894E-05   1.511E-04
 18   1.820E-05   1.215E-04
 19   1.756E-05   9.385E-05
 20   1.687E-05   7.046E-05
 21   1.612E-05   5.242E-05
 22   1.533E-05   4.012E-05
 23   1.457E-05   3.272E-05
 24   1.393E-05   2.892E-05
 25   1.333E-05   2.732E-05
 26   1.278E-05   2.684E-05
 27   1.230E-05   2.685E-05
 28   1.189E-05   2.709E-05
 29   1.156E-05   2.743E-05
 30   1.131E-05   2.784E-05
 31   1.114E-05   2.827E-05
 32   1.103E-05   2.866E-05
 33   1.098E-05   2.894E-05
 34   1.096E-05   2.901E-05
 35   1.096E-05   2.880E-05
 36   1.107E-05   2.833E-05
 37   1.108E-05   2.744E-05
 38   1.098E-05   2.619E-05
 39   1.081E-05   2.479E-05
 40   1.063E-05   2.347E-05
 41   1.052E-05   2.241E-05
 42   1.051E-05   2.163E-05
 43   1.057E-05   2.101E-05
 44   1.063E-05   2.046E-05
 45   1.061E-05   1.998E-05
 46   1.051E-05   1.969E-05
 47   1.032E-05   1.965E-05
 48   1.002E-05   1.980E-05
 49   9.600E-06   2.000E-05
 50   9.008E-06   1.973E-05
 51   8.261E-06   1.931E-05
 52   7.418E-06   1.866E-05
 53   6.586E-06   1.782E-05
 54   5.871E-06   1.685E-05
 55   5.335E-06   1.588E-05
 56   4.971E-06   1.503E-05
 57   4.715E-06   1.434E-05
 58   4.483E-06   1.379E-05
 59   4.208E-06   1.332E-05
 60   3.863E-06   1.288E-05
 61   3.454E-06   1.241E-05
 62   3.014E-06   1.187E-05
 63   2.586E-06   1.122E-05
 64   2.209E-06   1.045E-05
 65   1.908E-06   9.594E-06
 66   1.678E-06   8.688E-06
 67   1.494E-06   7.737E-06
 68   1.367E-06   6.997E-06
 69   1.276E-06   6.448E-06
 70   1.208E-06   6.035E-06
 71   1.154E-06   5.696E-06
 72   1.112E-06   5.378E-06
 73   1.080E-06   5.054E-06
 74   1.053E-06   4.719E-06
 75   1.028E-06   4.382E-06
 76   1.004E-06   4.055E-06
 77   9.772E-07   3.745E-06
 78   9.493E-07   3.452E-06
 79   9.207E-07   3.164E-06
 80   8.931E-07   2.861E-06
 81   4.964E-07   2.115E-06
 82   4.984E-07   2.117E-06
 83   1.689E-05   1.112E-04
 84   2.842E-06   4.151E-07
 85   1.316E-06   2.480E-06
 86   1.709E-06   4.339E-06
 87   1.962E-06   6.150E-06
 88   2.280E-06   7.483E-06
 89   2.465E-06   8.265E-06
 90   2.802E-06   8.641E-06
 91   3.271E-06   8.674E-06
 92   3.380E-06   8.718E-06
 93   3.357E-06   8.791E-06
 94   3.422E-06   8.640E-06
 95   3.486E-06   8.268E-06
 96   3.402E-06   7.512E-06
 97   3.324E-06   6.563E-06
 98   3.148E-06   5.903E-06
 99   2.981E-06   5.262E-06
100   2.749E-06   4.072E-06
101   2.683E-08   7.641E-08
 NST=     7

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   1.928E-03   2.658E-03
  3   1.572E-03   2.389E-03
  4   1.262E-03   3.354E-04
  5   9.992E-04   2.023E-03
  6   7.769E-04   3.443E-04
  7   5.872E-04   8.398E-04
  8   4.279E-04   5.279E-04
  9   2.976E-04   5.218E-04
 10   1.967E-04   4.117E-04
 11   1.238E-04   3.490E-04
 12   7.537E-05   3.062E-04
 13   4.624E-05   2.704E-04
 14   3.063E-05   2.358E-04
 15   2.328E-05   2.092E-04
 16   2.021E-05   1.788E-04
 17   1.893E-05   1.493E-04
 18   1.820E-05   1.206E-04
 19   1.755E-05   9.355E-05
 20   1.686E-05   7.051E-05
 21   1.612E-05   5.263E-05
 22   1.533E-05   4.038E-05
 23   1.457E-05   3.291E-05
 24   1.393E-05   2.903E-05
 25   1.333E-05   2.737E-05
 26   1.278E-05   2.685E-05
 27   1.230E-05   2.685E-05
 28   1.189E-05   2.708E-05
 29   1.156E-05   2.742E-05
 30   1.131E-05   2.782E-05
 31   1.114E-05   2.825E-05
 32   1.103E-05   2.864E-05
 33   1.098E-05   2.892E-05
 34   1.096E-05   2.899E-05
 35   1.096E-05   2.878E-05
 36   1.107E-05   2.831E-05
 37   1.108E-05   2.742E-05
 38   1.098E-05   2.618E-05
 39   1.081E-05   2.478E-05
 40   1.063E-05   2.346E-05
 41   1.052E-05   2.240E-05
 42   1.051E-05   2.162E-05
 43   1.057E-05   2.100E-05
 44   1.062E-05   2.045E-05
 45   1.061E-05   1.998E-05
 46   1.051E-05   1.969E-05
 47   1.032E-05   1.964E-05
 48   1.002E-05   1.980E-05
 49   9.600E-06   1.999E-05
 50   9.008E-06   1.973E-05
 51   8.261E-06   1.930E-05
 52   7.418E-06   1.866E-05
 53   6.585E-06   1.781E-05
 54   5.871E-06   1.685E-05
 55   5.335E-06   1.588E-05
 56   4.971E-06   1.502E-05
 57   4.715E-06   1.433E-05
 58   4.483E-06   1.378E-05
 59   4.208E-06   1.332E-05
 60   3.863E-06   1.288E-05
 61   3.454E-06   1.241E-05
 62   3.014E-06   1.187E-05
 63   2.586E-06   1.122E-05
 64   2.209E-06   1.045E-05
 65   1.908E-06   9.594E-06
 66   1.678E-06   8.689E-06
 67   1.494E-06   7.738E-06
 68   1.367E-06   6.999E-06
 69   1.276E-06   6.450E-06
 70   1.207E-06   6.038E-06
 71   1.154E-06   5.699E-06
 72   1.112E-06   5.382E-06
 73   1.080E-06   5.058E-06
 74   1.053E-06   4.725E-06
 75   1.028E-06   4.388E-06
 76   1.004E-06   4.062E-06
 77   9.772E-07   3.753E-06
 78   9.492E-07   3.461E-06
 79   9.206E-07   3.178E-06
 80   8.929E-07   2.888E-06
 81   4.951E-07   2.134E-06
 82   5.003E-07   2.177E-06
 83   1.672E-05   1.108E-04
 84   2.922E-06   6.220E-07
 85   1.312E-06   2.362E-06
 86   1.671E-06   4.196E-06
 87   1.934E-06   6.016E-06
 88   2.242E-06   7.380E-06
 89   2.423E-06   8.184E-06
 90   2.769E-06   8.591E-06
 91   3.241E-06   8.635E-06
 92   3.363E-06   8.668E-06
 93   3.335E-06   8.742E-06
 94   3.397E-06   8.608E-06
 95   3.450E-06   8.253E-06
 96   3.397E-06   7.523E-06
 97   3.304E-06   6.585E-06
 98   3.143E-06   5.908E-06
 99   2.979E-06   5.244E-06
100   2.754E-06   4.022E-06
101   2.684E-08   7.535E-08
 NST=     8

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   1.926E-03   3.231E-03
  3   1.571E-03   1.378E-03
  4   1.263E-03   1.686E-03
  5   9.995E-04   1.242E-03
  6   7.773E-04   8.456E-04
  7   5.876E-04   8.064E-04
  8   4.277E-04   4.841E-04
  9   2.976E-04   4.387E-04
 10   1.967E-04   3.932E-04
 11   1.238E-04   3.390E-04
 12   7.538E-05   2.966E-04
 13   4.625E-05   2.631E-04
 14   3.063E-05   2.324E-04
 15   2.328E-05   2.030E-04
 16   2.021E-05   1.763E-04
 17   1.892E-05   1.472E-04
 18   1.819E-05   1.198E-04
 19   1.754E-05   9.333E-05
 20   1.686E-05   7.072E-05
 21   1.612E-05   5.305E-05
 22   1.533E-05   4.074E-05
 23   1.457E-05   3.317E-05
 24   1.393E-05   2.917E-05
 25   1.333E-05   2.743E-05
 26   1.278E-05   2.686E-05
 27   1.230E-05   2.684E-05
 28   1.189E-05   2.706E-05
 29   1.156E-05   2.740E-05
 30   1.131E-05   2.780E-05
 31   1.113E-05   2.822E-05
 32   1.103E-05   2.861E-05
 33   1.098E-05   2.889E-05
 34   1.096E-05   2.897E-05
 35   1.096E-05   2.875E-05
 36   1.107E-05   2.829E-05
 37   1.108E-05   2.740E-05
 38   1.098E-05   2.616E-05
 39   1.081E-05   2.476E-05
 40   1.063E-05   2.344E-05
 41   1.052E-05   2.239E-05
 42   1.051E-05   2.161E-05
 43   1.057E-05   2.099E-05
 44   1.062E-05   2.044E-05
 45   1.061E-05   1.997E-05
 46   1.051E-05   1.968E-05
 47   1.032E-05   1.963E-05
 48   1.002E-05   1.979E-05
 49   9.599E-06   1.998E-05
 50   9.008E-06   1.972E-05
 51   8.261E-06   1.929E-05
 52   7.418E-06   1.865E-05
 53   6.585E-06   1.780E-05
 54   5.870E-06   1.684E-05
 55   5.334E-06   1.587E-05
 56   4.971E-06   1.501E-05
 57   4.715E-06   1.432E-05
 58   4.483E-06   1.378E-05
 59   4.208E-06   1.331E-05
 60   3.863E-06   1.287E-05
 61   3.455E-06   1.240E-05
 62   3.015E-06   1.186E-05
 63   2.586E-06   1.121E-05
 64   2.209E-06   1.044E-05
 65   1.908E-06   9.592E-06
 66   1.678E-06   8.687E-06
 67   1.494E-06   7.738E-06
 68   1.367E-06   6.999E-06
 69   1.276E-06   6.451E-06
 70   1.207E-06   6.040E-06
 71   1.154E-06   5.701E-06
 72   1.112E-06   5.384E-06
 73   1.080E-06   5.062E-06
 74   1.053E-06   4.728E-06
 75   1.028E-06   4.393E-06
 76   1.003E-06   4.067E-06
 77   9.771E-07   3.758E-06
 78   9.491E-07   3.468E-06
 79   9.205E-07   3.190E-06
 80   8.929E-07   2.910E-06
 81   4.942E-07   2.149E-06
 82   5.018E-07   2.223E-06
 83   1.659E-05   1.106E-04
 84   2.983E-06   7.774E-07
 85   1.311E-06   2.275E-06
 86   1.640E-06   4.088E-06
 87   1.912E-06   5.914E-06
 88   2.237E-06   7.301E-06
 89   2.381E-06   8.122E-06
 90   2.753E-06   8.551E-06
 91   3.210E-06   8.606E-06
 92   3.348E-06   8.633E-06
 93   3.320E-06   8.707E-06
 94   3.377E-06   8.585E-06
