 NST=     1

  J  RHR Solar (K/s)  RHR Thermal (K/s)
 92   3.315E-06   8.499E-06
 93   3.262E-06   8.567E-06
 94   3.304E-06   8.490E-06
 95   3.333E-06   8.185E-06
 96   3.358E-06   7.548E-06
 97   3.190E-06   6.659E-06
 98   3.144E-06   5.929E-06
 99   2.963E-06   5.120E-06
100   2.778E-06   3.902E-06
101   2.689E-08   7.188E-08
 NST=    17

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   1.917E-03   1.954E-03
  3   1.568E-03   1.651E-03
  4   1.262E-03   1.156E-03
  5   1.000E-03   1.324E-03
  6   7.787E-04   1.016E-03
  7   5.888E-04   7.201E-04
  8   4.279E-04   6.186E-04
  9   2.973E-04   4.351E-04
 10   1.965E-04   4.038E-04
 11   1.238E-04   3.075E-04
 12   7.545E-05   2.583E-04
 13   4.630E-05   2.216E-04
 14   3.063E-05   1.970E-04
 15   2.323E-05   1.725E-04
 16   2.013E-05   1.515E-04
 17   1.884E-05   1.307E-04
 18   1.812E-05   1.103E-04
 19   1.748E-05   9.002E-05
 20   1.681E-05   7.097E-05
 21   1.608E-05   5.506E-05
 22   1.530E-05   4.306E-05
 23   1.455E-05   3.497E-05
 24   1.392E-05   3.026E-05
 25   1.332E-05   2.792E-05
 26   1.277E-05   2.698E-05
 27   1.229E-05   2.677E-05
 28   1.188E-05   2.690E-05
 29   1.155E-05   2.719E-05
 30   1.130E-05   2.758E-05
 31   1.113E-05   2.798E-05
 32   1.102E-05   2.836E-05
 33   1.097E-05   2.863E-05
 34   1.096E-05   2.871E-05
 35   1.096E-05   2.850E-05
 36   1.106E-05   2.805E-05
 37   1.108E-05   2.718E-05
 38   1.098E-05   2.597E-05
 39   1.081E-05   2.459E-05
 40   1.063E-05   2.330E-05
 41   1.052E-05   2.227E-05
 42   1.051E-05   2.151E-05
 43   1.057E-05   2.091E-05
 44   1.062E-05   2.036E-05
 45   1.061E-05   1.990E-05
 46   1.051E-05   1.960E-05
 47   1.032E-05   1.955E-05
 48   1.002E-05   1.970E-05
 49   9.597E-06   1.989E-05
 50   9.005E-06   1.962E-05
 51   8.258E-06   1.919E-05
 52   7.415E-06   1.855E-05
 53   6.582E-06   1.771E-05
 54   5.867E-06   1.675E-05
 55   5.332E-06   1.579E-05
 56   4.968E-06   1.494E-05
 57   4.713E-06   1.425E-05
 58   4.482E-06   1.371E-05
 59   4.208E-06   1.325E-05
 60   3.864E-06   1.281E-05
 61   3.456E-06   1.234E-05
 62   3.016E-06   1.181E-05
 63   2.588E-06   1.116E-05
 64   2.210E-06   1.040E-05
 65   1.909E-06   9.556E-06
 66   1.678E-06   8.658E-06
 67   1.494E-06   7.715E-06
 68   1.367E-06   6.981E-06
 69   1.276E-06   6.436E-06
 70   1.207E-06   6.028E-06
 71   1.154E-06   5.691E-06
 72   1.112E-06   5.375E-06
 73   1.079E-06   5.053E-06
 74   1.052E-06   4.719E-06
 75   1.028E-06   4.383E-06
 76   1.003E-06   4.054E-06
 77   9.767E-07   3.744E-06
 78   9.487E-07   3.454E-06
 79   9.201E-07   3.184E-06
 80   8.924E-07   2.928E-06
 81   4.769E-07   1.981E-06
 82   4.786E-07   2.060E-06
 83   1.616E-05   1.124E-04
 84   3.255E-06   8.528E-07
 85   1.299E-06   1.417E-06
 86   1.494E-06   3.603E-06
 87   1.810E-06   5.458E-06
 88   2.224E-06   6.950E-06
 89   2.293E-06   7.856E-06
 90   2.659E-06   8.378E-06
 91   3.059E-06   8.490E-06
 92   3.314E-06   8.495E-06
 93   3.260E-06   8.563E-06
 94   3.302E-06   8.486E-06
 95   3.328E-06   8.183E-06
 96   3.359E-06   7.547E-06
 97   3.189E-06   6.660E-06
 98   3.143E-06   5.929E-06
 99   2.963E-06   5.116E-06
100   2.778E-06   3.899E-06
101   2.689E-08   7.180E-08
 NST=    18

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   1.917E-03   1.462E-03
  3   1.568E-03   1.371E-03
  4   1.262E-03   2.148E-03
  5   1.001E-03   1.261E-03
  6   7.786E-04   6.103E-04
  7   5.886E-04   1.219E-03
  8   4.280E-04   5.632E-04
  9   2.974E-04   3.811E-04
 10   1.966E-04   3.628E-04
 11   1.238E-04   2.902E-04
 12   7.547E-05   2.552E-04
 13   4.632E-05   2.163E-04
 14   3.064E-05   1.929E-04
 15   2.323E-05   1.702E-04
 16   2.013E-05   1.493E-04
 17   1.883E-05   1.302E-04
 18   1.811E-05   1.095E-04
 19   1.747E-05   8.963E-05
 20   1.680E-05   7.092E-05
 21   1.607E-05   5.523E-05
 22   1.530E-05   4.329E-05
 23   1.455E-05   3.517E-05
 24   1.392E-05   3.038E-05
 25   1.332E-05   2.798E-05
 26   1.277E-05   2.700E-05
 27   1.229E-05   2.676E-05
 28   1.188E-05   2.688E-05
 29   1.155E-05   2.717E-05
 30   1.130E-05   2.754E-05
 31   1.112E-05   2.795E-05
 32   1.102E-05   2.833E-05
 33   1.097E-05   2.860E-05
 34   1.096E-05   2.867E-05
 35   1.096E-05   2.847E-05
 36   1.106E-05   2.802E-05
 37   1.108E-05   2.715E-05
 38   1.098E-05   2.594E-05
 39   1.081E-05   2.457E-05
 40   1.063E-05   2.328E-05
 41   1.052E-05   2.225E-05
 42   1.051E-05   2.149E-05
 43   1.057E-05   2.089E-05
 44   1.062E-05   2.035E-05
 45   1.061E-05   1.989E-05
 46   1.051E-05   1.959E-05
 47   1.031E-05   1.954E-05
 48   1.002E-05   1.969E-05
 49   9.596E-06   1.987E-05
 50   9.005E-06   1.960E-05
 51   8.257E-06   1.918E-05
 52   7.414E-06   1.853E-05
 53   6.582E-06   1.769E-05
 54   5.867E-06   1.674E-05
 55   5.331E-06   1.578E-05
 56   4.968E-06   1.493E-05
 57   4.713E-06   1.424E-05
 58   4.482E-06   1.370E-05
 59   4.208E-06   1.324E-05
 60   3.864E-06   1.280E-05
 61   3.456E-06   1.234E-05
 62   3.016E-06   1.180E-05
 63   2.588E-06   1.116E-05
 64   2.211E-06   1.039E-05
 65   1.909E-06   9.551E-06
 66   1.678E-06   8.654E-06
 67   1.494E-06   7.712E-06
 68   1.367E-06   6.978E-06
 69   1.276E-06   6.434E-06
 70   1.207E-06   6.026E-06
 71   1.154E-06   5.689E-06
 72   1.112E-06   5.373E-06
 73   1.079E-06   5.051E-06
 74   1.052E-06   4.718E-06
 75   1.028E-06   4.381E-06
 76   1.003E-06   4.052E-06
 77   9.767E-07   3.741E-06
 78   9.487E-07   3.453E-06
 79   9.201E-07   3.186E-06
 80   8.925E-07   2.936E-06
 81   4.748E-07   1.964E-06
 82   4.770E-07   2.048E-06
 83   1.615E-05   1.124E-04
 84   3.261E-06   8.779E-07
 85   1.300E-06   1.409E-06
 86   1.490E-06   3.593E-06
 87   1.807E-06   5.448E-06
 88   2.224E-06   6.942E-06
 89   2.291E-06   7.849E-06
 90   2.656E-06   8.374E-06
 91   3.055E-06   8.487E-06
 92   3.314E-06   8.492E-06
 93   3.259E-06   8.559E-06
 94   3.300E-06   8.484E-06
 95   3.323E-06   8.181E-06
 96   3.360E-06   7.548E-06
 97   3.188E-06   6.662E-06
 98   3.142E-06   5.930E-06
 99   2.962E-06   5.113E-06
100   2.778E-06   3.897E-06
101   2.689E-08   7.174E-08
 NST=    19

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   1.919E-03   1.761E-03
  3   1.567E-03   1.430E-03
  4   1.260E-03   2.023E-03
  5   1.000E-03   4.622E-04
  6   7.788E-04   7.282E-04
  7   5.880E-04   5.013E-04
  8   4.279E-04   4.614E-04
  9   2.976E-04   4.700E-04
 10   1.967E-04   3.652E-04
 11   1.239E-04   2.917E-04
 12   7.553E-05   2.491E-04
 13   4.635E-05   2.165E-04
 14   3.065E-05   1.856E-04
 15   2.323E-05   1.648E-04
 16   2.011E-05   1.467E-04
 17   1.882E-05   1.273E-04
 18   1.809E-05   1.084E-04
 19   1.746E-05   8.907E-05
 20   1.679E-05   7.106E-05
 21   1.606E-05   5.571E-05
 22   1.529E-05   4.369E-05
 23   1.454E-05   3.547E-05
 24   1.391E-05   3.056E-05
 25   1.331E-05   2.805E-05
 26   1.277E-05   2.701E-05
 27   1.229E-05   2.674E-05
 28   1.188E-05   2.684E-05
 29   1.154E-05   2.713E-05
 30   1.129E-05   2.750E-05
 31   1.112E-05   2.790E-05
 32   1.102E-05   2.827E-05
 33   1.097E-05   2.854E-05
 34   1.095E-05   2.862E-05
 35   1.095E-05   2.841E-05
 36   1.106E-05   2.797E-05
 37   1.107E-05   2.711E-05
 38   1.098E-05   2.590E-05
 39   1.081E-05   2.454E-05
 40   1.063E-05   2.326E-05
 41   1.052E-05   2.223E-05
 42   1.051E-05   2.147E-05
 43   1.057E-05   2.088E-05
 44   1.062E-05   2.034E-05
 45   1.061E-05   1.987E-05
 46   1.051E-05   1.958E-05
 47   1.031E-05   1.952E-05
 48   1.002E-05   1.967E-05
 49   9.593E-06   1.985E-05
 50   9.001E-06   1.958E-05
 51   8.254E-06   1.915E-05
 52   7.411E-06   1.851E-05
 53   6.578E-06   1.767E-05
 54   5.863E-06   1.671E-05
 55   5.328E-06   1.576E-05
 56   4.964E-06   1.491E-05
 57   4.709E-06   1.422E-05
 58   4.478E-06   1.368E-05
 59   4.204E-06   1.322E-05
 60   3.860E-06   1.278E-05
 61   3.452E-06   1.231E-05
 62   3.012E-06   1.178E-05
 63   2.584E-06   1.114E-05
 64   2.206E-06   1.037E-05
 65   1.904E-06   9.529E-06
 66   1.673E-06   8.633E-06
 67   1.488E-06   7.690E-06
 68   1.361E-06   6.956E-06
 69   1.270E-06   6.410E-06
 70   1.201E-06   6.000E-06
 71   1.147E-06   5.661E-06
 72   1.105E-06   5.342E-06
 73   1.072E-06   5.017E-06
 74   1.044E-06   4.679E-06
 75   1.019E-06   4.337E-06
 76   9.938E-07   4.003E-06
 77   9.667E-07   3.685E-06
 78   9.378E-07   3.388E-06
 79   9.081E-07   3.112E-06
 80   8.791E-07   2.854E-06
 81   8.525E-07   2.596E-06
 82   8.281E-07   2.237E-06
 83   7.986E-07   2.012E-06
 84   1.570E-05   1.064E-04
 85   2.609E-06   1.144E-06
 86   1.747E-06   3.530E-06
 87   1.928E-06   5.398E-06
 88   2.317E-06   6.907E-06
 89   2.336E-06   7.828E-06
 90   2.686E-06   8.363E-06
 91   3.075E-06   8.481E-06
 92   3.332E-06   8.488E-06
 93   3.264E-06   8.556E-06
 94   3.301E-06   8.483E-06
 95   3.323E-06   8.181E-06
 96   3.362E-06   7.549E-06
 97   3.188E-06   6.664E-06
 98   3.143E-06   5.931E-06
 99   2.962E-06   5.111E-06
100   2.779E-06   3.895E-06
101   2.690E-08   7.169E-08
