  i  Z(km)      P(bar)      T(K)  
 21 3.1112E+06 7.9135E+01 1.9938E+02
 22 3.0524E+06 9.6643E+01 1.9954E+02
 23 2.9940E+06 1.1782E+02 1.9962E+02
 24 2.9361E+06 1.4337E+02 1.9965E+02
 25 2.8788E+06 1.7416E+02 1.9965E+02
 26 2.8220E+06 2.1118E+02 1.9964E+02
 27 2.7658E+06 2.5562E+02 1.9963E+02
 28 2.7101E+06 3.0887E+02 1.9961E+02
 29 2.6549E+06 3.7253E+02 1.9959E+02
 30 2.6003E+06 4.4853E+02 1.9958E+02
 31 2.5462E+06 5.3906E+02 1.9957E+02
 32 2.4927E+06 6.4672E+02 1.9956E+02
 33 2.4397E+06 7.7450E+02 1.9956E+02
 34 2.3872E+06 9.2587E+02 1.9957E+02
 35 2.3353E+06 1.1049E+03 1.9958E+02
 36 2.2838E+06 1.3161E+03 1.9960E+02
 37 2.2330E+06 1.5650E+03 1.9963E+02
 38 2.1826E+06 1.8576E+03 1.9966E+02
 39 2.1328E+06 2.2010E+03 1.9968E+02
 40 2.0835E+06 2.6032E+03 1.9971E+02
 41 2.0347E+06 3.0735E+03 1.9973E+02
 42 1.9864E+06 3.6223E+03 1.9974E+02
 43 1.9387E+06 4.2615E+03 1.9976E+02
 44 1.8915E+06 5.0046E+03 1.9977E+02
 45 1.8449E+06 5.8668E+03 1.9977E+02
 46 1.7987E+06 6.8653E+03 1.9977E+02
 47 1.7531E+06 8.0194E+03 1.9976E+02
 48 1.7081E+06 9.3510E+03 1.9975E+02
 49 1.6635E+06 1.0884E+04 1.9974E+02
 50 1.6195E+06 1.2646E+04 1.9974E+02
 51 1.5761E+06 1.4668E+04 1.9973E+02
 52 1.5331E+06 1.6982E+04 1.9973E+02
 53 1.4907E+06 1.9626E+04 1.9974E+02
 54 1.4489E+06 2.2642E+04 1.9975E+02
 55 1.4075E+06 2.6074E+04 1.9976E+02
 56 1.3667E+06 2.9974E+04 1.9977E+02
 57 1.3264E+06 3.4396E+04 1.9978E+02
 58 1.2866E+06 3.9399E+04 1.9978E+02
 59 1.2474E+06 4.5051E+04 1.9978E+02
 60 1.2087E+06 5.1421E+04 1.9979E+02
 61 1.1705E+06 5.8588E+04 1.9979E+02
 62 1.1329E+06 6.6635E+04 1.9980E+02
 63 1.0957E+06 7.5653E+04 1.9981E+02
 64 1.0591E+06 8.5738E+04 1.9982E+02
 65 1.0231E+06 9.6996E+04 1.9983E+02
 66 9.8752E+05 1.0954E+05 1.9985E+02
 67 9.5250E+05 1.2348E+05 1.9986E+02
 68 9.1800E+05 1.3895E+05 1.9988E+02
 69 8.8403E+05 1.5607E+05 1.9989E+02
 70 8.5058E+05 1.7500E+05 1.9989E+02
 71 8.1767E+05 1.9588E+05 1.9990E+02
 72 7.8527E+05 2.1885E+05 1.9991E+02
 73 7.5341E+05 2.4409E+05 1.9991E+02
 74 7.2207E+05 2.7175E+05 1.9992E+02
 75 6.9125E+05 3.0201E+05 1.9993E+02
 76 6.6096E+05 3.3504E+05 1.9994E+02
 77 6.3120E+05 3.7102E+05 1.9994E+02
 78 6.0196E+05 4.1014E+05 1.9995E+02
 79 5.7325E+05 4.5257E+05 1.9996E+02
 80 5.4506E+05 4.9851E+05 1.9999E+02
 81 5.1739E+05 5.4813E+05 2.0011E+02
 82 4.9019E+05 6.0163E+05 2.0070E+02
 83 4.6339E+05 6.5916E+05 2.0211E+02
 84 4.3668E+05 7.2092E+05 2.0746E+02
 85 4.0982E+05 7.8707E+05 2.1284E+02
 86 3.8283E+05 8.5775E+05 2.1822E+02
 87 3.5576E+05 9.3312E+05 2.2358E+02
 88 3.2862E+05 1.0133E+06 2.2892E+02
 89 3.0146E+05 1.0984E+06 2.3420E+02
 90 2.7430E+05 1.1886E+06 2.3940E+02
 91 2.4719E+05 1.2838E+06 2.4448E+02
 92 2.2016E+05 1.3843E+06 2.4940E+02
 93 1.9326E+05 1.4899E+06 2.5413E+02
 94 1.6655E+05 1.6008E+06 2.5864E+02
 95 1.4005E+05 1.7168E+06 2.6291E+02
 96 1.1382E+05 1.8380E+06 2.6692E+02
 97 8.7908E+04 1.9643E+06 2.7083E+02
 98 6.2330E+04 2.0954E+06 2.7464E+02
 99 3.7124E+04 2.2314E+06 2.7823E+02
100 1.2327E+04 2.3720E+06 2.8165E+02
  i  qc(g/g)   qt(g/g)   clima_qt(g/g)  
  1 0.0000E+00 2.1080E-06 3.2925E-06
  2 0.0000E+00 2.1080E-06 3.2925E-06
  3 0.0000E+00 2.1080E-06 3.2925E-06
  4 0.0000E+00 2.1080E-06 3.2925E-06
  5 0.0000E+00 2.1080E-06 3.2925E-06
  6 0.0000E+00 2.1080E-06 3.2925E-06
  7 0.0000E+00 2.1080E-06 3.2925E-06
  8 0.0000E+00 2.1080E-06 3.2925E-06
  9 0.0000E+00 2.1080E-06 3.2925E-06
 10 0.0000E+00 2.1080E-06 3.2925E-06
 11 0.0000E+00 2.1080E-06 3.2925E-06
 12 0.0000E+00 2.1080E-06 3.2925E-06
 13 0.0000E+00 2.1080E-06 3.2925E-06
 14 0.0000E+00 2.1080E-06 3.2925E-06
 15 0.0000E+00 2.1080E-06 3.2925E-06
 16 0.0000E+00 2.1080E-06 3.2925E-06
 17 0.0000E+00 2.1080E-06 3.2925E-06
 18 0.0000E+00 2.1080E-06 3.2925E-06
 19 0.0000E+00 2.1080E-06 3.2925E-06
 20 0.0000E+00 2.1080E-06 3.2925E-06
 21 0.0000E+00 2.1080E-06 3.2925E-06
 22 0.0000E+00 2.1080E-06 3.2925E-06
 23 0.0000E+00 2.1080E-06 3.2925E-06
 24 0.0000E+00 2.1080E-06 3.2925E-06
 25 0.0000E+00 2.1080E-06 3.2925E-06
 26 0.0000E+00 2.1080E-06 3.2925E-06
 27 0.0000E+00 2.1080E-06 3.2925E-06
 28 0.0000E+00 2.1080E-06 3.2925E-06
 29 0.0000E+00 2.1080E-06 3.2925E-06
 30 0.0000E+00 2.1080E-06 3.2925E-06
 31 0.0000E+00 2.1080E-06 3.2925E-06
 32 0.0000E+00 2.1080E-06 3.2925E-06
 33 0.0000E+00 2.1080E-06 3.2925E-06
 34 0.0000E+00 2.1080E-06 3.2925E-06
 35 0.0000E+00 2.1080E-06 3.2925E-06
 36 0.0000E+00 2.1080E-06 3.2925E-06
 37 0.0000E+00 2.1080E-06 3.2925E-06
 38 0.0000E+00 2.1080E-06 3.2925E-06
 39 0.0000E+00 2.1080E-06 3.2925E-06
 40 0.0000E+00 2.1080E-06 3.2925E-06
 41 0.0000E+00 2.1080E-06 3.2925E-06
 42 0.0000E+00 2.1080E-06 3.2925E-06
 43 0.0000E+00 2.1080E-06 3.2925E-06
 44 0.0000E+00 2.1080E-06 3.2925E-06
 45 0.0000E+00 2.1080E-06 3.2925E-06
 46 0.0000E+00 2.1080E-06 3.2925E-06
 47 0.0000E+00 2.1080E-06 3.2925E-06
 48 0.0000E+00 2.1080E-06 3.2925E-06
 49 0.0000E+00 2.1080E-06 3.2925E-06
 50 0.0000E+00 2.1080E-06 3.2925E-06
 51 0.0000E+00 2.1080E-06 3.2925E-06
 52 0.0000E+00 2.1080E-06 3.2925E-06
 53 0.0000E+00 2.1080E-06 3.2925E-06
 54 0.0000E+00 2.1080E-06 3.2925E-06
 55 0.0000E+00 2.1080E-06 3.2925E-06
 56 0.0000E+00 2.1080E-06 3.2925E-06
 57 0.0000E+00 2.1080E-06 3.2925E-06
 58 0.0000E+00 2.1080E-06 3.2925E-06
 59 0.0000E+00 2.1080E-06 3.2925E-06
 60 0.0000E+00 2.1080E-06 3.2925E-06
 61 0.0000E+00 2.1080E-06 3.2925E-06
 62 0.0000E+00 2.1080E-06 3.2925E-06
 63 0.0000E+00 2.1080E-06 3.2925E-06
 64 0.0000E+00 2.1080E-06 3.2925E-06
 65 0.0000E+00 2.1080E-06 3.2925E-06
 66 0.0000E+00 2.1080E-06 3.2925E-06
 67 0.0000E+00 2.1080E-06 3.2925E-06
 68 0.0000E+00 2.1080E-06 3.2925E-06
 69 0.0000E+00 2.1080E-06 3.2925E-06
 70 0.0000E+00 2.1080E-06 3.2925E-06
 71 0.0000E+00 2.1080E-06 3.2925E-06
 72 0.0000E+00 2.1080E-06 3.2925E-06
 73 0.0000E+00 2.1080E-06 3.2925E-06
 74 0.0000E+00 2.1080E-06 3.2925E-06
 75 0.0000E+00 2.1080E-06 3.2925E-06
 76 0.0000E+00 2.1080E-06 3.2925E-06
 77 0.0000E+00 2.1080E-06 3.2925E-06
 78 0.0000E+00 2.1080E-06 3.2925E-06
 79 0.0000E+00 2.1080E-06 3.2925E-06
 80 9.8638E-08 2.1018E-06 3.2925E-06
 81 1.7072E-07 2.0971E-06 3.0828E-06
 82 2.9136E-04 2.9341E-04 3.3101E-06
 83 3.3354E-04 3.3666E-04 6.6323E-06
 84 3.8147E-04 3.8760E-04 1.2824E-05
 85 4.3627E-04 4.4791E-04 2.3956E-05
 86 4.9811E-04 5.1951E-04 4.3269E-05
 87 5.6656E-04 6.0457E-04 7.5590E-05
 88 6.4019E-04 7.0552E-04 1.2771E-04
 89 7.1635E-04 8.2489E-04 2.0858E-04
 90 7.9091E-04 9.6514E-04 3.2907E-04
 91 8.5836E-04 1.1284E-03 5.0117E-04
 92 9.1238E-04 1.3164E-03 7.3660E-04
 93 9.4666E-04 1.5299E-03 1.0451E-03
 94 9.5607E-04 1.7692E-03 1.4330E-03
 95 9.3770E-04 2.0341E-03 1.9024E-03
 96 8.8049E-04 2.3231E-03 2.4829E-03
 97 7.3008E-04 2.5966E-03 3.1869E-03
 98 5.1136E-04 2.8032E-03 3.8167E-03
 99 1.6200E-04 2.9117E-03 4.5893E-03
100 0.0000E+00 2.9370E-03 4.9366E-03
 
  i  Z(km)      P(bar)      T(K)  
  1 4.4022E+06 1.0000E+00 2.2892E+02
  2 4.3232E+06 1.2655E+00 2.2373E+02
  3 4.2470E+06 1.5986E+00 2.1606E+02
  4 4.1741E+06 2.0159E+00 2.0786E+02
  5 4.1043E+06 2.5375E+00 2.0122E+02
  6 4.0368E+06 3.1884E+00 1.9726E+02
  7 3.9710E+06 3.9991E+00 1.9510E+02
  8 3.9063E+06 5.0071E+00 1.9346E+02
  9 3.8426E+06 6.2580E+00 1.9234E+02
 10 3.7796E+06 7.8076E+00 1.9181E+02
 11 3.7173E+06 9.7234E+00 1.9183E+02
 12 3.6554E+06 1.2088E+01 1.9229E+02
 13 3.5939E+06 1.5001E+01 1.9306E+02
 14 3.5326E+06 1.8582E+01 1.9403E+02
 15 3.4715E+06 2.2978E+01 1.9509E+02
 16 3.4106E+06 2.8363E+01 1.9614E+02
 17 3.3499E+06 3.4948E+01 1.9710E+02
 18 3.2895E+06 4.2985E+01 1.9792E+02
 19 3.2293E+06 5.2776E+01 1.9855E+02
 20 3.1696E+06 6.4683E+01 1.9902E+02
 21 3.1103E+06 7.9135E+01 1.9932E+02
 22 3.0514E+06 9.6643E+01 1.9950E+02
 23 2.9930E+06 1.1782E+02 1.9959E+02
 24 2.9352E+06 1.4337E+02 1.9962E+02
 25 2.8779E+06 1.7416E+02 1.9963E+02
 26 2.8211E+06 2.1118E+02 1.9962E+02
 27 2.7649E+06 2.5562E+02 1.9960E+02
 28 2.7092E+06 3.0887E+02 1.9959E+02
 29 2.6540E+06 3.7253E+02 1.9957E+02
 30 2.5994E+06 4.4853E+02 1.9956E+02
 31 2.5453E+06 5.3906E+02 1.9955E+02
 32 2.4918E+06 6.4672E+02 1.9954E+02
 33 2.4388E+06 7.7450E+02 1.9954E+02
 34 2.3863E+06 9.2587E+02 1.9955E+02
 35 2.3344E+06 1.1049E+03 1.9956E+02
 36 2.2830E+06 1.3161E+03 1.9958E+02
 37 2.2321E+06 1.5650E+03 1.9961E+02
 38 2.1817E+06 1.8576E+03 1.9964E+02
 39 2.1319E+06 2.2010E+03 1.9967E+02
 40 2.0826E+06 2.6032E+03 1.9969E+02
 41 2.0338E+06 3.0735E+03 1.9971E+02
 42 1.9856E+06 3.6223E+03 1.9973E+02
 43 1.9379E+06 4.2615E+03 1.9974E+02
 44 1.8907E+06 5.0046E+03 1.9975E+02
 45 1.8440E+06 5.8668E+03 1.9976E+02
 46 1.7979E+06 6.8653E+03 1.9976E+02
 47 1.7523E+06 8.0194E+03 1.9975E+02
 48 1.7072E+06 9.3510E+03 1.9974E+02
 49 1.6627E+06 1.0884E+04 1.9973E+02
 50 1.6187E+06 1.2646E+04 1.9972E+02
 51 1.5753E+06 1.4668E+04 1.9972E+02
 52 1.5323E+06 1.6982E+04 1.9972E+02
 53 1.4899E+06 1.9626E+04 1.9973E+02
 54 1.4481E+06 2.2642E+04 1.9973E+02
 55 1.4067E+06 2.6074E+04 1.9974E+02
 56 1.3659E+06 2.9974E+04 1.9975E+02
 57 1.3256E+06 3.4396E+04 1.9976E+02
 58 1.2858E+06 3.9399E+04 1.9977E+02
 59 1.2466E+06 4.5051E+04 1.9977E+02
 60 1.2079E+06 5.1421E+04 1.9978E+02
 61 1.1697E+06 5.8588E+04 1.9978E+02
 62 1.1321E+06 6.6635E+04 1.9979E+02
 63 1.0950E+06 7.5653E+04 1.9980E+02
 64 1.0584E+06 8.5738E+04 1.9981E+02
 65 1.0223E+06 9.6996E+04 1.9983E+02
 66 9.8675E+05 1.0954E+05 1.9984E+02
 67 9.5173E+05 1.2348E+05 1.9986E+02
 68 9.1723E+05 1.3895E+05 1.9987E+02
 69 8.8326E+05 1.5607E+05 1.9988E+02
 70 8.4982E+05 1.7500E+05 1.9989E+02
 71 8.1690E+05 1.9588E+05 1.9989E+02
 72 7.8451E+05 2.1885E+05 1.9990E+02
 73 7.5265E+05 2.4409E+05 1.9991E+02
 74 7.2131E+05 2.7175E+05 1.9992E+02
 75 6.9049E+05 3.0201E+05 1.9993E+02
 76 6.6021E+05 3.3504E+05 1.9993E+02
 77 6.3044E+05 3.7102E+05 1.9994E+02
 78 6.0121E+05 4.1014E+05 1.9995E+02
 79 5.7249E+05 4.5257E+05 1.9996E+02
 80 5.4430E+05 4.9851E+05 2.0001E+02
 81 5.1663E+05 5.4813E+05 2.0013E+02
 82 4.8943E+05 6.0163E+05 2.0062E+02
 83 4.6266E+05 6.5916E+05 2.0173E+02
 84 4.3600E+05 7.2092E+05 2.0709E+02
 85 4.0919E+05 7.8707E+05 2.1246E+02
 86 3.8225E+05 8.5775E+05 2.1784E+02
 87 3.5522E+05 9.3312E+05 2.2320E+02
 88 3.2813E+05 1.0133E+06 2.2854E+02
 89 3.0101E+05 1.0984E+06 2.3382E+02
 90 2.7390E+05 1.1886E+06 2.3902E+02
 91 2.4683E+05 1.2838E+06 2.4410E+02
 92 2.1984E+05 1.3843E+06 2.4902E+02
 93 1.9299E+05 1.4899E+06 2.5376E+02
 94 1.6631E+05 1.6008E+06 2.5826E+02
 95 1.3985E+05 1.7168E+06 2.6253E+02
 96 1.1366E+05 1.8380E+06 2.6654E+02
 97 8.7785E+04 1.9643E+06 2.7046E+02
 98 6.2243E+04 2.0954E+06 2.7426E+02
 99 3.7073E+04 2.2314E+06 2.7785E+02
100 1.2310E+04 2.3720E+06 2.8127E+02
  i  qc(g/g)   qt(g/g)   clima_qt(g/g)  
  1 0.0000E+00 2.1080E-06 3.2925E-06
  2 0.0000E+00 2.1080E-06 3.2925E-06
  3 0.0000E+00 2.1080E-06 3.2925E-06
  4 0.0000E+00 2.1080E-06 3.2925E-06
  5 0.0000E+00 2.1080E-06 3.2925E-06
  6 0.0000E+00 2.1080E-06 3.2925E-06
  7 0.0000E+00 2.1080E-06 3.2925E-06
  8 0.0000E+00 2.1080E-06 3.2925E-06
  9 0.0000E+00 2.1080E-06 3.2925E-06
 10 0.0000E+00 2.1080E-06 3.2925E-06
 11 0.0000E+00 2.1080E-06 3.2925E-06
 12 0.0000E+00 2.1080E-06 3.2925E-06
 13 0.0000E+00 2.1080E-06 3.2925E-06
 14 0.0000E+00 2.1080E-06 3.2925E-06
 15 0.0000E+00 2.1080E-06 3.2925E-06
 16 0.0000E+00 2.1080E-06 3.2925E-06
 17 0.0000E+00 2.1080E-06 3.2925E-06
 18 0.0000E+00 2.1080E-06 3.2925E-06
 19 0.0000E+00 2.1080E-06 3.2925E-06
 20 0.0000E+00 2.1080E-06 3.2925E-06
 21 0.0000E+00 2.1080E-06 3.2925E-06
 22 0.0000E+00 2.1080E-06 3.2925E-06
 23 0.0000E+00 2.1080E-06 3.2925E-06
 24 0.0000E+00 2.1080E-06 3.2925E-06
 25 0.0000E+00 2.1080E-06 3.2925E-06
 26 0.0000E+00 2.1080E-06 3.2925E-06
 27 0.0000E+00 2.1080E-06 3.2925E-06
 28 0.0000E+00 2.1080E-06 3.2925E-06
 29 0.0000E+00 2.1080E-06 3.2925E-06
 30 0.0000E+00 2.1080E-06 3.2925E-06
 31 0.0000E+00 2.1080E-06 3.2925E-06
 32 0.0000E+00 2.1080E-06 3.2925E-06
 33 0.0000E+00 2.1080E-06 3.2925E-06
 34 0.0000E+00 2.1080E-06 3.2925E-06
 35 0.0000E+00 2.1080E-06 3.2925E-06
 36 0.0000E+00 2.1080E-06 3.2925E-06
 37 0.0000E+00 2.1080E-06 3.2925E-06
 38 0.0000E+00 2.1080E-06 3.2925E-06
 39 0.0000E+00 2.1080E-06 3.2925E-06
 40 0.0000E+00 2.1080E-06 3.2925E-06
 41 0.0000E+00 2.1080E-06 3.2925E-06
 42 0.0000E+00 2.1080E-06 3.2925E-06
 43 0.0000E+00 2.1080E-06 3.2925E-06
 44 0.0000E+00 2.1080E-06 3.2925E-06
 45 0.0000E+00 2.1080E-06 3.2925E-06
 46 0.0000E+00 2.1080E-06 3.2925E-06
 47 0.0000E+00 2.1080E-06 3.2925E-06
 48 0.0000E+00 2.1080E-06 3.2925E-06
 49 0.0000E+00 2.1080E-06 3.2925E-06
 50 0.0000E+00 2.1080E-06 3.2925E-06
 51 0.0000E+00 2.1080E-06 3.2925E-06
 52 0.0000E+00 2.1080E-06 3.2925E-06
 53 0.0000E+00 2.1080E-06 3.2925E-06
 54 0.0000E+00 2.1080E-06 3.2925E-06
 55 0.0000E+00 2.1080E-06 3.2925E-06
 56 0.0000E+00 2.1080E-06 3.2925E-06
 57 0.0000E+00 2.1080E-06 3.2925E-06
 58 0.0000E+00 2.1080E-06 3.2925E-06
 59 0.0000E+00 2.1080E-06 3.2925E-06
 60 0.0000E+00 2.1080E-06 3.2925E-06
 61 0.0000E+00 2.1080E-06 3.2925E-06
 62 0.0000E+00 2.1080E-06 3.2925E-06
 63 0.0000E+00 2.1080E-06 3.2925E-06
 64 0.0000E+00 2.1080E-06 3.2925E-06
 65 0.0000E+00 2.1080E-06 3.2925E-06
 66 0.0000E+00 2.1080E-06 3.2925E-06
 67 0.0000E+00 2.1080E-06 3.2925E-06
 68 0.0000E+00 2.1080E-06 3.2925E-06
 69 0.0000E+00 2.1080E-06 3.2925E-06
 70 0.0000E+00 2.1080E-06 3.2925E-06
 71 0.0000E+00 2.1080E-06 3.2925E-06
 72 0.0000E+00 2.1080E-06 3.2925E-06
 73 0.0000E+00 2.1080E-06 3.2925E-06
 74 0.0000E+00 2.1080E-06 3.2925E-06
 75 0.0000E+00 2.1080E-06 3.2925E-06
 76 0.0000E+00 2.1080E-06 3.2925E-06
 77 0.0000E+00 2.1080E-06 3.2925E-06
 78 0.0000E+00 2.1080E-06 3.2925E-06
 79 0.0000E+00 2.1080E-06 3.2925E-06
 80 9.2728E-08 2.1022E-06 3.2925E-06
 81 1.7899E-07 2.0966E-06 3.0481E-06
 82 2.8224E-04 2.8422E-04 3.1267E-06
 83 3.2317E-04 3.2612E-04 6.2831E-06
 84 3.6965E-04 3.7547E-04 1.2182E-05
 85 4.2284E-04 4.3391E-04 2.2813E-05
 86 4.8291E-04 5.0331E-04 4.1301E-05
 87 5.4946E-04 5.8578E-04 7.2307E-05
 88 6.2116E-04 6.8370E-04 1.2241E-04
 89 6.9545E-04 7.9956E-04 2.0028E-04
 90 7.6835E-04 9.3578E-04 3.1650E-04
 91 8.3456E-04 1.0945E-03 4.8277E-04
 92 8.8794E-04 1.2774E-03 7.1053E-04
 93 9.2241E-04 1.4853E-03 1.0094E-03
 94 9.3301E-04 1.7187E-03 1.3856E-03
 95 9.1703E-04 1.9776E-03 1.8413E-03
 96 8.6400E-04 2.2608E-03 2.4054E-03
 97 7.2120E-04 2.5301E-03 3.0953E-03
 98 5.0278E-04 2.7340E-03 3.7242E-03
 99 1.6218E-04 2.8411E-03 4.4791E-03
100 0.0000E+00 2.8664E-03 4.8149E-03
 
  i  Z(km)      P(bar)      T(K)  
  1 4.3996E+06 1.0000E+00 2.2740E+02
  2 4.3210E+06 1.2655E+00 2.2236E+02
  3 4.2451E+06 1.5986E+00 2.1593E+02
  4 4.1722E+06 2.0159E+00 2.0789E+02
  5 4.1023E+06 2.5375E+00 2.0168E+02
  6 4.0347E+06 3.1884E+00 1.9762E+02
  7 3.9689E+06 3.9991E+00 1.9488E+02
  8 3.9042E+06 5.0071E+00 1.9320E+02
  9 3.8406E+06 6.2580E+00 1.9203E+02
 10 3.7778E+06 7.8076E+00 1.9148E+02
 11 3.7156E+06 9.7234E+00 1.9147E+02
 12 3.6538E+06 1.2088E+01 1.9191E+02
 13 3.5924E+06 1.5001E+01 1.9269E+02
 14 3.5312E+06 1.8582E+01 1.9368E+02
 15 3.4702E+06 2.2978E+01 1.9477E+02
 16 3.4094E+06 2.8363E+01 1.9585E+02
 17 3.3488E+06 3.4948E+01 1.9686E+02
 18 3.2884E+06 4.2985E+01 1.9772E+02
 19 3.2284E+06 5.2776E+01 1.9840E+02
 20 3.1687E+06 6.4683E+01 1.9890E+02
 21 3.1094E+06 7.9135E+01 1.9923E+02
 22 3.0505E+06 9.6643E+01 1.9943E+02
 23 2.9922E+06 1.1782E+02 1.9954E+02
 24 2.9344E+06 1.4337E+02 1.9958E+02
 25 2.8771E+06 1.7416E+02 1.9959E+02
 26 2.8203E+06 2.1118E+02 1.9959E+02
 27 2.7641E+06 2.5562E+02 1.9957E+02
 28 2.7084E+06 3.0887E+02 1.9956E+02
 29 2.6532E+06 3.7253E+02 1.9954E+02
 30 2.5986E+06 4.4853E+02 1.9952E+02
 31 2.5446E+06 5.3906E+02 1.9951E+02
 32 2.4910E+06 6.4672E+02 1.9951E+02
 33 2.4380E+06 7.7450E+02 1.9951E+02
 34 2.3856E+06 9.2587E+02 1.9951E+02
 35 2.3336E+06 1.1049E+03 1.9953E+02
 36 2.2822E+06 1.3161E+03 1.9955E+02
 37 2.2314E+06 1.5650E+03 1.9958E+02
 38 2.1810E+06 1.8576E+03 1.9961E+02
 39 2.1312E+06 2.2010E+03 1.9964E+02
 40 2.0819E+06 2.6032E+03 1.9967E+02
 41 2.0331E+06 3.0735E+03 1.9969E+02
 42 1.9849E+06 3.6223E+03 1.9971E+02
 43 1.9372E+06 4.2615E+03 1.9972E+02
 44 1.8900E+06 5.0046E+03 1.9973E+02
 45 1.8433E+06 5.8668E+03 1.9974E+02
 46 1.7972E+06 6.8653E+03 1.9974E+02
 47 1.7516E+06 8.0194E+03 1.9973E+02
 48 1.7066E+06 9.3510E+03 1.9972E+02
 49 1.6621E+06 1.0884E+04 1.9971E+02
 50 1.6181E+06 1.2646E+04 1.9970E+02
 51 1.5746E+06 1.4668E+04 1.9970E+02
 52 1.5317E+06 1.6982E+04 1.9970E+02
 53 1.4893E+06 1.9626E+04 1.9970E+02
 54 1.4474E+06 2.2642E+04 1.9971E+02
 55 1.4061E+06 2.6074E+04 1.9972E+02
 56 1.3653E+06 2.9974E+04 1.9973E+02
 57 1.3250E+06 3.4396E+04 1.9974E+02
 58 1.2852E+06 3.9399E+04 1.9975E+02
 59 1.2460E+06 4.5051E+04 1.9975E+02
 60 1.2073E+06 5.1421E+04 1.9976E+02
 61 1.1691E+06 5.8588E+04 1.9976E+02
 62 1.1315E+06 6.6635E+04 1.9977E+02
 63 1.0944E+06 7.5653E+04 1.9978E+02
 64 1.0578E+06 8.5738E+04 1.9980E+02
 65 1.0217E+06 9.6996E+04 1.9981E+02
 66 9.8615E+05 1.0954E+05 1.9983E+02
 67 9.5113E+05 1.2348E+05 1.9984E+02
 68 9.1664E+05 1.3895E+05 1.9986E+02
 69 8.8267E+05 1.5607E+05 1.9987E+02
 70 8.4923E+05 1.7500E+05 1.9988E+02
 71 8.1632E+05 1.9588E+05 1.9989E+02
 72 7.8393E+05 2.1885E+05 1.9989E+02
 73 7.5206E+05 2.4409E+05 1.9990E+02
 74 7.2072E+05 2.7175E+05 1.9991E+02
 75 6.8991E+05 3.0201E+05 1.9992E+02
 76 6.5962E+05 3.3504E+05 1.9993E+02
 77 6.2986E+05 3.7102E+05 1.9993E+02
 78 6.0063E+05 4.1014E+05 1.9994E+02
 79 5.7191E+05 4.5257E+05 1.9997E+02
 80 5.4372E+05 4.9851E+05 2.0002E+02
 81 5.1604E+05 5.4813E+05 2.0015E+02
 82 4.8885E+05 6.0163E+05 2.0055E+02
 83 4.6211E+05 6.5916E+05 2.0144E+02
 84 4.3548E+05 7.2092E+05 2.0680E+02
 85 4.0870E+05 7.8707E+05 2.1217E+02
 86 3.8181E+05 8.5775E+05 2.1755E+02
 87 3.5481E+05 9.3312E+05 2.2291E+02
 88 3.2776E+05 1.0133E+06 2.2825E+02
 89 3.0067E+05 1.0984E+06 2.3353E+02
 90 2.7359E+05 1.1886E+06 2.3873E+02
 91 2.4655E+05 1.2838E+06 2.4381E+02
 92 2.1960E+05 1.3843E+06 2.4873E+02
 93 1.9278E+05 1.4899E+06 2.5347E+02
 94 1.6613E+05 1.6008E+06 2.5797E+02
 95 1.3970E+05 1.7168E+06 2.6224E+02
 96 1.1354E+05 1.8380E+06 2.6625E+02
 97 8.7691E+04 1.9643E+06 2.7017E+02
 98 6.2177E+04 2.0954E+06 2.7397E+02
 99 3.7033E+04 2.2314E+06 2.7756E+02
100 1.2297E+04 2.3720E+06 2.8098E+02
  i  qc(g/g)   qt(g/g)   clima_qt(g/g)  
  1 0.0000E+00 2.1080E-06 3.2925E-06
  2 0.0000E+00 2.1080E-06 3.2925E-06
  3 0.0000E+00 2.1080E-06 3.2925E-06
  4 0.0000E+00 2.1080E-06 3.2925E-06
  5 0.0000E+00 2.1080E-06 3.2925E-06
  6 0.0000E+00 2.1080E-06 3.2925E-06
  7 0.0000E+00 2.1080E-06 3.2925E-06
  8 0.0000E+00 2.1080E-06 3.2925E-06
  9 0.0000E+00 2.1080E-06 3.2925E-06
 10 0.0000E+00 2.1080E-06 3.2925E-06
 11 0.0000E+00 2.1080E-06 3.2925E-06
 12 0.0000E+00 2.1080E-06 3.2925E-06
 13 0.0000E+00 2.1080E-06 3.2925E-06
 14 0.0000E+00 2.1080E-06 3.2925E-06
 15 0.0000E+00 2.1080E-06 3.2925E-06
 16 0.0000E+00 2.1080E-06 3.2925E-06
 17 0.0000E+00 2.1080E-06 3.2925E-06
 18 0.0000E+00 2.1080E-06 3.2925E-06
 19 0.0000E+00 2.1080E-06 3.2925E-06
 20 0.0000E+00 2.1080E-06 3.2925E-06
 21 0.0000E+00 2.1080E-06 3.2925E-06
 22 0.0000E+00 2.1080E-06 3.2925E-06
 23 0.0000E+00 2.1080E-06 3.2925E-06
 24 0.0000E+00 2.1080E-06 3.2925E-06
 25 0.0000E+00 2.1080E-06 3.2925E-06
 26 0.0000E+00 2.1080E-06 3.2925E-06
 27 0.0000E+00 2.1080E-06 3.2925E-06
 28 0.0000E+00 2.1080E-06 3.2925E-06
 29 0.0000E+00 2.1080E-06 3.2925E-06
 30 0.0000E+00 2.1080E-06 3.2925E-06
 31 0.0000E+00 2.1080E-06 3.2925E-06
 32 0.0000E+00 2.1080E-06 3.2925E-06
