  i  Z(km)      P(bar)      T(K)  
 73 0.0000E+00 2.1080E-06 3.2925E-06
 74 0.0000E+00 2.1080E-06 3.2925E-06
 75 0.0000E+00 2.1080E-06 3.2925E-06
 76 0.0000E+00 2.1080E-06 3.2925E-06
 77 0.0000E+00 2.1080E-06 3.2925E-06
 78 0.0000E+00 2.1080E-06 3.2925E-06
 79 0.0000E+00 2.1080E-06 3.2925E-06
 80 1.1330E-07 2.1009E-06 3.2925E-06
 81 7.3467E-08 2.1034E-06 3.2925E-06
 82 4.2948E-04 4.3258E-04 6.5947E-06
 83 4.9010E-04 4.9620E-04 1.2762E-05
 84 5.5951E-04 5.7112E-04 2.3893E-05
 85 6.3821E-04 6.5961E-04 4.3315E-05
 86 7.2608E-04 7.6427E-04 7.6090E-05
 87 8.2199E-04 8.8806E-04 1.2955E-04
 88 9.2335E-04 1.0341E-03 2.1373E-04
 89 1.0257E-03 1.2056E-03 3.4149E-04
 90 1.1226E-03 1.4054E-03 5.2805E-04
 91 1.2057E-03 1.6356E-03 7.8963E-04
 92 1.2655E-03 1.8974E-03 1.1414E-03
 93 1.2926E-03 2.1904E-03 1.5954E-03
 94 1.2788E-03 2.5127E-03 2.1582E-03
 95 1.2179E-03 2.8604E-03 2.8306E-03
 96 1.0999E-03 3.2264E-03 3.6263E-03
 97 9.5182E-04 3.5734E-03 4.4263E-03
 98 6.6763E-04 3.8425E-03 5.2686E-03
 99 2.0867E-04 3.9835E-03 6.2755E-03
100 0.0000E+00 4.0161E-03 6.7188E-03
 
  i  Z(km)      P(bar)      T(K)  
  1 4.4112E+06 1.0000E+00 2.0555E+02
  2 4.3397E+06 1.2655E+00 2.0383E+02
  3 4.2693E+06 1.5986E+00 2.0230E+02
  4 4.1999E+06 2.0159E+00 2.0102E+02
  5 4.1315E+06 2.5375E+00 1.9996E+02
  6 4.0640E+06 3.1884E+00 1.9911E+02
  7 3.9972E+06 3.9991E+00 1.9845E+02
  8 3.9312E+06 5.0071E+00 1.9798E+02
  9 3.8659E+06 6.2580E+00 1.9771E+02
 10 3.8011E+06 7.8076E+00 1.9763E+02
 11 3.7369E+06 9.7234E+00 1.9771E+02
 12 3.6732E+06 1.2088E+01 1.9792E+02
 13 3.6099E+06 1.5001E+01 1.9821E+02
 14 3.5470E+06 1.8582E+01 1.9855E+02
 15 3.4846E+06 2.2978E+01 1.9888E+02
 16 3.4227E+06 2.8363E+01 1.9918E+02
