  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
 76 3.7102E-01 4.9980E+03 4.9213E+06
 77 4.1014E-01 5.5029E+03 4.7584E+06
 78 4.5257E-01 5.9876E+03 4.5780E+06
 79 4.9851E-01 6.4350E+03 4.3810E+06
 80 5.4813E-01 6.8444E+03 4.1728E+06
 81 6.0163E-01 7.2058E+03 3.9608E+06
 82 6.5916E-01 3.6051E+04 6.3326E+06
 83 7.2092E-01 3.5761E+04 5.9173E+06
 84 7.8707E-01 3.6447E+04 5.5694E+06
 85 8.5775E-01 3.7828E+04 5.2445E+06
 86 9.3312E-01 3.9731E+04 4.9275E+06
 87 1.0133E+00 4.2210E+04 4.6145E+06
 88 1.0984E+00 4.4944E+04 4.2897E+06
 89 1.1886E+00 4.7701E+04 3.9462E+06
 90 1.2838E+00 5.0473E+04 3.5868E+06
 91 1.3843E+00 5.3456E+04 3.2188E+06
 92 1.4899E+00 5.6536E+04 2.8418E+06
 93 1.6008E+00 5.9575E+04 2.4575E+06
 94 1.7168E+00 6.2424E+04 2.0691E+06
 95 1.8380E+00 6.4845E+04 1.6809E+06
 96 1.9643E+00 6.6861E+04 1.3015E+06
 97 2.0954E+00 6.8768E+04 1.2504E+06
 98 2.2314E+00 7.0637E+04 1.2571E+06
 99 2.3720E+00 7.2144E+04 1.2607E+06
100 2.5169E+00 7.6685E+04 3.3279E+10
 
  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2655E-06 1.6287E+03 5.3649E+08
  2 1.5986E-06 1.6287E+03 4.7565E+08
  3 2.0159E-06 1.6287E+03 4.3139E+08
  4 2.5375E-06 1.6287E+03 3.9411E+08
  5 3.1884E-06 1.6287E+03 3.6073E+08
  6 3.9991E-06 1.6287E+03 3.3041E+08
  7 5.0071E-06 1.6287E+03 3.0286E+08
  8 6.2580E-06 1.6287E+03 2.7850E+08
  9 7.8076E-06 1.6287E+03 2.5702E+08
 10 9.7234E-06 1.6287E+03 2.3790E+08
 11 1.2088E-05 1.6287E+03 2.2077E+08
 12 1.5001E-05 1.6287E+03 2.0529E+08
 13 1.8582E-05 1.6287E+03 1.9116E+08
 14 2.2978E-05 1.6287E+03 1.7816E+08
 15 2.8363E-05 1.6287E+03 1.6612E+08
 16 3.4948E-05 1.6287E+03 1.5490E+08
 17 4.2985E-05 1.6287E+03 1.4441E+08
 18 5.2776E-05 1.6287E+03 1.3458E+08
 19 6.4683E-05 1.6287E+03 1.2539E+08
 20 7.9135E-05 1.6287E+03 1.1681E+08
 21 9.6643E-05 1.6287E+03 1.0880E+08
 22 1.1782E-04 1.6287E+03 1.0136E+08
 23 1.4337E-04 1.6287E+03 9.4457E+07
 24 1.7416E-04 1.6287E+03 8.8051E+07
 25 2.1118E-04 1.6287E+03 8.2112E+07
 26 2.5562E-04 1.6287E+03 7.6608E+07
 27 3.0887E-04 1.6287E+03 7.1504E+07
 28 3.7253E-04 1.6287E+03 6.6770E+07
 29 4.4853E-04 1.6287E+03 6.2377E+07
 30 5.3906E-04 1.6287E+03 5.8299E+07
 31 6.4672E-04 1.6287E+03 5.4511E+07
 32 7.7450E-04 1.6287E+03 5.0991E+07
 33 9.2587E-04 1.6287E+03 4.7720E+07
 34 1.1049E-03 1.6287E+03 4.4678E+07
 35 1.3161E-03 1.6287E+03 4.1848E+07
 36 1.5650E-03 1.6287E+03 3.9213E+07
 37 1.8576E-03 1.6287E+03 3.6758E+07
 38 2.2010E-03 1.6287E+03 3.4470E+07
 39 2.6032E-03 1.6287E+03 3.2336E+07
 40 3.0735E-03 1.6287E+03 3.0345E+07
 41 3.6223E-03 1.6287E+03 2.8486E+07
 42 4.2615E-03 1.6287E+03 2.6749E+07
 43 5.0046E-03 1.6287E+03 2.5127E+07
 44 5.8668E-03 1.6287E+03 2.3609E+07
 45 6.8653E-03 1.6287E+03 2.2190E+07
 46 8.0194E-03 1.6287E+03 2.0862E+07
 47 9.3510E-03 1.6287E+03 1.9619E+07
 48 1.0884E-02 1.6287E+03 1.8454E+07
 49 1.2646E-02 1.6287E+03 1.7364E+07
 50 1.4668E-02 1.6287E+03 1.6341E+07
 51 1.6982E-02 1.6287E+03 1.5383E+07
 52 1.9626E-02 1.6287E+03 1.4484E+07
 53 2.2642E-02 1.6287E+03 1.3640E+07
 54 2.6074E-02 1.6287E+03 1.2848E+07
 55 2.9974E-02 1.6287E+03 1.2103E+07
 56 3.4396E-02 1.6287E+03 1.1403E+07
 57 3.9399E-02 1.6287E+03 1.0744E+07
 58 4.5051E-02 1.6287E+03 1.0124E+07
 59 5.1421E-02 1.6287E+03 9.5409E+06
 60 5.8588E-02 1.6287E+03 8.9912E+06
 61 6.6635E-02 1.6287E+03 8.4732E+06
 62 7.5653E-02 1.6287E+03 7.9847E+06
 63 8.5738E-02 1.6287E+03 7.5240E+06
 64 9.6996E-02 1.6287E+03 7.0891E+06
 65 1.0954E-01 1.6287E+03 6.6785E+06
 66 1.2348E-01 1.6287E+03 6.2904E+06
 67 1.3895E-01 1.6510E+03 5.9503E+06
 68 1.5607E-01 2.1254E+03 6.0937E+06
 69 1.7500E-01 2.6141E+03 6.1442E+06
 70 1.9588E-01 3.1201E+03 6.1311E+06
 71 2.1885E-01 3.6422E+03 6.0701E+06
 72 2.4409E-01 4.1753E+03 5.9705E+06
 73 2.7175E-01 4.7130E+03 5.8389E+06
 74 3.0201E-01 5.2494E+03 5.6811E+06
 75 3.3504E-01 5.7801E+03 5.5023E+06
 76 3.7102E-01 6.3020E+03 5.3072E+06
 77 4.1014E-01 6.8120E+03 5.0995E+06
 78 4.5257E-01 7.3040E+03 4.8816E+06
 79 4.9851E-01 7.7590E+03 4.6529E+06
 80 5.4813E-01 8.1593E+03 4.4147E+06
 81 6.0163E-01 8.5361E+03 4.1801E+06
 82 6.5916E-01 3.7413E+04 6.3868E+06
 83 7.2092E-01 3.6844E+04 5.9486E+06
 84 7.8707E-01 3.7448E+04 5.5942E+06
 85 8.5775E-01 3.8668E+04 5.2594E+06
 86 9.3312E-01 4.0483E+04 4.9366E+06
 87 1.0133E+00 4.2862E+04 4.6182E+06
 88 1.0984E+00 4.5552E+04 4.2907E+06
 89 1.1886E+00 4.8340E+04 3.9472E+06
 90 1.2838E+00 5.1056E+04 3.5857E+06
 91 1.3843E+00 5.3995E+04 3.2164E+06
 92 1.4899E+00 5.7061E+04 2.8392E+06
 93 1.6008E+00 6.0116E+04 2.4551E+06
 94 1.7168E+00 6.2977E+04 2.0670E+06
 95 1.8380E+00 6.5492E+04 1.6800E+06
 96 1.9643E+00 6.7529E+04 1.3008E+06
 97 2.0954E+00 6.9412E+04 1.2494E+06
 98 2.2314E+00 7.1132E+04 1.2552E+06
 99 2.3720E+00 7.2440E+04 1.2577E+06
100 2.5169E+00 7.6699E+04 3.3211E+10
 
  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2655E-06 1.6299E+03 5.8077E+08
  2 1.5986E-06 1.6299E+03 5.0908E+08
  3 2.0159E-06 1.6299E+03 4.4240E+08
  4 2.5375E-06 1.6299E+03 3.9582E+08
  5 3.1884E-06 1.6299E+03 3.6071E+08
  6 3.9991E-06 1.6299E+03 3.2940E+08
  7 5.0071E-06 1.6299E+03 3.0129E+08
  8 6.2580E-06 1.6299E+03 2.7653E+08
  9 7.8076E-06 1.6299E+03 2.5493E+08
 10 9.7234E-06 1.6299E+03 2.3590E+08
 11 1.2088E-05 1.6299E+03 2.1895E+08
 12 1.5001E-05 1.6299E+03 2.0370E+08
 13 1.8582E-05 1.6299E+03 1.8983E+08
 14 2.2978E-05 1.6299E+03 1.7710E+08
 15 2.8363E-05 1.6299E+03 1.6530E+08
 16 3.4948E-05 1.6299E+03 1.5430E+08
 17 4.2985E-05 1.6299E+03 1.4399E+08
 18 5.2776E-05 1.6299E+03 1.3431E+08
 19 6.4683E-05 1.6299E+03 1.2522E+08
 20 7.9135E-05 1.6299E+03 1.1670E+08
 21 9.6643E-05 1.6299E+03 1.0874E+08
 22 1.1782E-04 1.6299E+03 1.0132E+08
 23 1.4337E-04 1.6299E+03 9.4421E+07
 24 1.7416E-04 1.6299E+03 8.8019E+07
 25 2.1118E-04 1.6299E+03 8.2083E+07
 26 2.5562E-04 1.6299E+03 7.6579E+07
 27 3.0887E-04 1.6299E+03 7.1476E+07
 28 3.7253E-04 1.6299E+03 6.6742E+07
 29 4.4853E-04 1.6299E+03 6.2349E+07
 30 5.3906E-04 1.6299E+03 5.8272E+07
 31 6.4672E-04 1.6299E+03 5.4485E+07
 32 7.7450E-04 1.6299E+03 5.0967E+07
 33 9.2587E-04 1.6299E+03 4.7698E+07
 34 1.1049E-03 1.6299E+03 4.4657E+07
 35 1.3161E-03 1.6299E+03 4.1829E+07
 36 1.5650E-03 1.6299E+03 3.9196E+07
 37 1.8576E-03 1.6299E+03 3.6743E+07
 38 2.2010E-03 1.6299E+03 3.4457E+07
 39 2.6032E-03 1.6299E+03 3.2325E+07
 40 3.0735E-03 1.6299E+03 3.0335E+07
 41 3.6223E-03 1.6299E+03 2.8477E+07
 42 4.2615E-03 1.6299E+03 2.6741E+07
 43 5.0046E-03 1.6299E+03 2.5119E+07
 44 5.8668E-03 1.6299E+03 2.3602E+07
 45 6.8653E-03 1.6299E+03 2.2183E+07
 46 8.0194E-03 1.6299E+03 2.0855E+07
