  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
 19 6.4683E-05 1.6335E+03 1.2475E+08
 20 7.9135E-05 1.6335E+03 1.1639E+08
 21 9.6643E-05 1.6335E+03 1.0854E+08
 22 1.1782E-04 1.6335E+03 1.0119E+08
 23 1.4337E-04 1.6335E+03 9.4337E+07
 24 1.7416E-04 1.6335E+03 8.7959E+07
 25 2.1118E-04 1.6335E+03 8.2034E+07
 26 2.5562E-04 1.6335E+03 7.6535E+07
 27 3.0887E-04 1.6335E+03 7.1433E+07
 28 3.7253E-04 1.6335E+03 6.6701E+07
 29 4.4853E-04 1.6335E+03 6.2309E+07
 30 5.3906E-04 1.6335E+03 5.8232E+07
 31 6.4672E-04 1.6335E+03 5.4447E+07
 32 7.7450E-04 1.6335E+03 5.0931E+07
 33 9.2587E-04 1.6335E+03 4.7664E+07
 34 1.1049E-03 1.6335E+03 4.4626E+07
 35 1.3161E-03 1.6335E+03 4.1801E+07
 36 1.5650E-03 1.6335E+03 3.9170E+07
 37 1.8576E-03 1.6335E+03 3.6721E+07
 38 2.2010E-03 1.6335E+03 3.4437E+07
 39 2.6032E-03 1.6335E+03 3.2306E+07
 40 3.0735E-03 1.6335E+03 3.0318E+07
 41 3.6223E-03 1.6335E+03 2.8462E+07
 42 4.2615E-03 1.6335E+03 2.6727E+07
 43 5.0046E-03 1.6335E+03 2.5106E+07
 44 5.8668E-03 1.6335E+03 2.3590E+07
 45 6.8653E-03 1.6335E+03 2.2171E+07
 46 8.0194E-03 1.6335E+03 2.0843E+07
 47 9.3510E-03 1.6335E+03 1.9600E+07
 48 1.0884E-02 1.6335E+03 1.8436E+07
 49 1.2646E-02 1.6335E+03 1.7345E+07
 50 1.4668E-02 1.6335E+03 1.6323E+07
 51 1.6982E-02 1.6335E+03 1.5365E+07
 52 1.9626E-02 1.6335E+03 1.4466E+07
 53 2.2642E-02 1.6335E+03 1.3623E+07
 54 2.6074E-02 1.6335E+03 1.2831E+07
 55 2.9974E-02 1.6335E+03 1.2087E+07
 56 3.4396E-02 1.6335E+03 1.1387E+07
 57 3.9399E-02 1.6335E+03 1.0729E+07
 58 4.5051E-02 1.8803E+03 1.0595E+07
 59 5.1421E-02 2.1906E+03 1.0505E+07
 60 5.8588E-02 2.5371E+03 1.0396E+07
 61 6.6635E-02 2.9214E+03 1.0268E+07
 62 7.5653E-02 3.3409E+03 1.0118E+07
 63 8.5738E-02 3.7883E+03 9.9412E+06
 64 9.6996E-02 4.2540E+03 9.7349E+06
 65 1.0954E-01 4.7268E+03 9.4981E+06
 66 1.2348E-01 5.1946E+03 9.2311E+06
 67 1.3895E-01 5.6624E+03 8.9451E+06
 68 1.5607E-01 6.1379E+03 8.6493E+06
 69 1.7500E-01 6.6283E+03 8.3497E+06
 70 1.9588E-01 7.1368E+03 8.0493E+06
 71 2.1885E-01 7.6622E+03 7.7487E+06
 72 2.4409E-01 8.1996E+03 7.4472E+06
 73 2.7175E-01 8.7430E+03 7.1446E+06
 74 3.0201E-01 9.2866E+03 6.8408E+06
 75 3.3504E-01 9.8266E+03 6.5365E+06
 76 3.7102E-01 1.0360E+04 6.2329E+06
 77 4.1014E-01 1.0886E+04 5.9309E+06
 78 4.5257E-01 1.1401E+04 5.6315E+06
 79 4.9851E-01 1.1901E+04 5.3352E+06
 80 5.4813E-01 1.2341E+04 5.0370E+06
 81 6.0163E-01 1.2844E+04 4.7551E+06
 82 6.5916E-01 4.1381E+04 6.5438E+06
 83 7.2092E-01 4.0061E+04 6.0449E+06
 84 7.8707E-01 4.0359E+04 5.6610E+06
 85 8.5775E-01 4.1236E+04 5.3049E+06
 86 9.3312E-01 4.2783E+04 4.9655E+06
 87 1.0133E+00 4.4882E+04 4.6320E+06
 88 1.0984E+00 4.7441E+04 4.2967E+06
 89 1.1886E+00 5.0180E+04 3.9491E+06
 90 1.2838E+00 5.2888E+04 3.5856E+06
 91 1.3843E+00 5.5662E+04 3.2116E+06
 92 1.4899E+00 5.8636E+04 2.8323E+06
 93 1.6008E+00 6.1663E+04 2.4481E+06
 94 1.7168E+00 6.4596E+04 2.0614E+06
 95 1.8380E+00 6.7244E+04 1.6761E+06
 96 1.9643E+00 6.9472E+04 1.2988E+06
 97 2.0954E+00 7.1381E+04 1.2472E+06
 98 2.2314E+00 7.2960E+04 1.2521E+06
 99 2.3720E+00 7.3834E+04 1.2521E+06
100 2.5169E+00 7.7423E+04 3.3258E+10
 
  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2655E-06 1.6367E+03 5.6347E+08
  2 1.5986E-06 1.6367E+03 5.0544E+08
  3 2.0159E-06 1.6367E+03 4.5107E+08
  4 2.5375E-06 1.6367E+03 4.0349E+08
  5 3.1884E-06 1.6367E+03 3.6321E+08
  6 3.9991E-06 1.6367E+03 3.2908E+08
  7 5.0071E-06 1.6367E+03 2.9992E+08
  8 6.2580E-06 1.6367E+03 2.7472E+08
  9 7.8076E-06 1.6367E+03 2.5276E+08
 10 9.7234E-06 1.6367E+03 2.3352E+08
 11 1.2088E-05 1.6367E+03 2.1653E+08
 12 1.5001E-05 1.6367E+03 2.0138E+08
 13 1.8582E-05 1.6367E+03 1.8772E+08
 14 2.2978E-05 1.6367E+03 1.7525E+08
 15 2.8363E-05 1.6367E+03 1.6376E+08
 16 3.4948E-05 1.6367E+03 1.5306E+08
 17 4.2985E-05 1.6367E+03 1.4304E+08
 18 5.2776E-05 1.6367E+03 1.3362E+08
 19 6.4683E-05 1.6367E+03 1.2475E+08
 20 7.9135E-05 1.6367E+03 1.1640E+08
 21 9.6643E-05 1.6367E+03 1.0856E+08
 22 1.1782E-04 1.6367E+03 1.0122E+08
 23 1.4337E-04 1.6367E+03 9.4373E+07
 24 1.7416E-04 1.6367E+03 8.7996E+07
 25 2.1118E-04 1.6367E+03 8.2070E+07
 26 2.5562E-04 1.6367E+03 7.6570E+07
 27 3.0887E-04 1.6367E+03 7.1466E+07
 28 3.7253E-04 1.6367E+03 6.6731E+07
 29 4.4853E-04 1.6367E+03 6.2337E+07
 30 5.3906E-04 1.6367E+03 5.8258E+07
 31 6.4672E-04 1.6367E+03 5.4471E+07
 32 7.7450E-04 1.6367E+03 5.0954E+07
 33 9.2587E-04 1.6367E+03 4.7685E+07
 34 1.1049E-03 1.6367E+03 4.4646E+07
 35 1.3161E-03 1.6367E+03 4.1819E+07
 36 1.5650E-03 1.6367E+03 3.9188E+07
 37 1.8576E-03 1.6367E+03 3.6737E+07
 38 2.2010E-03 1.6367E+03 3.4452E+07
 39 2.6032E-03 1.6367E+03 3.2321E+07
 40 3.0735E-03 1.6367E+03 3.0332E+07
 41 3.6223E-03 1.6367E+03 2.8475E+07
 42 4.2615E-03 1.6367E+03 2.6739E+07
 43 5.0046E-03 1.6367E+03 2.5117E+07
 44 5.8668E-03 1.6367E+03 2.3600E+07
 45 6.8653E-03 1.6367E+03 2.2181E+07
 46 8.0194E-03 1.6367E+03 2.0852E+07
 47 9.3510E-03 1.6367E+03 1.9609E+07
 48 1.0884E-02 1.6367E+03 1.8444E+07
 49 1.2646E-02 1.6367E+03 1.7353E+07
 50 1.4668E-02 1.6367E+03 1.6330E+07
 51 1.6982E-02 1.6367E+03 1.5371E+07
 52 1.9626E-02 1.6367E+03 1.4472E+07
 53 2.2642E-02 1.6367E+03 1.3629E+07
 54 2.6074E-02 1.6367E+03 1.2836E+07
 55 2.9974E-02 1.6367E+03 1.2092E+07
 56 3.4396E-02 1.6367E+03 1.1392E+07
 57 3.9399E-02 1.6367E+03 1.0733E+07
 58 4.5051E-02 1.6367E+03 1.0113E+07
 59 5.1421E-02 1.6367E+03 9.5298E+06
 60 5.8588E-02 1.6367E+03 8.9801E+06
 61 6.6635E-02 1.7884E+03 8.7157E+06
 62 7.5653E-02 2.2073E+03 8.8095E+06
 63 8.5738E-02 2.6541E+03 8.8263E+06
 64 9.6996E-02 3.1189E+03 8.7750E+06
 65 1.0954E-01 3.5907E+03 8.6632E+06
 66 1.2348E-01 4.0573E+03 8.4980E+06
 67 1.3895E-01 4.5237E+03 8.2968E+06
 68 1.5607E-01 4.9975E+03 8.0731E+06
 69 1.7500E-01 5.4858E+03 7.8360E+06
 70 1.9588E-01 5.9918E+03 7.5900E+06
 71 2.1885E-01 6.5140E+03 7.3369E+06
 72 2.4409E-01 7.0474E+03 7.0771E+06
 73 2.7175E-01 7.5859E+03 6.8107E+06
 74 3.0201E-01 8.1234E+03 6.5386E+06
 75 3.3504E-01 8.6555E+03 6.2620E+06
 76 3.7102E-01 9.1792E+03 5.9826E+06
 77 4.1014E-01 9.6919E+03 5.7017E+06
 78 4.5257E-01 1.0190E+04 5.4207E+06
 79 4.9851E-01 1.0665E+04 5.1399E+06
 80 5.4813E-01 1.1096E+04 4.8578E+06
 81 6.0163E-01 1.1365E+04 4.5628E+06
 82 6.5916E-01 1.1663E+04 4.2855E+06
 83 7.2092E-01 4.1168E+04 6.0888E+06
 84 7.8707E-01 4.0873E+04 5.6746E+06
 85 8.5775E-01 4.1612E+04 5.3115E+06
 86 9.3312E-01 4.3071E+04 4.9680E+06
 87 1.0133E+00 4.5102E+04 4.6316E+06
 88 1.0984E+00 4.7623E+04 4.2949E+06
 89 1.1886E+00 5.0338E+04 3.9467E+06
 90 1.2838E+00 5.3033E+04 3.5831E+06
 91 1.3843E+00 5.5791E+04 3.2089E+06
 92 1.4899E+00 5.8757E+04 2.8298E+06
 93 1.6008E+00 6.1781E+04 2.4458E+06
 94 1.7168E+00 6.4716E+04 2.0594E+06
 95 1.8380E+00 6.7367E+04 1.6745E+06
 96 1.9643E+00 6.9607E+04 1.2976E+06
 97 2.0954E+00 7.1515E+04 1.2460E+06
 98 2.2314E+00 7.3087E+04 1.2509E+06
 99 2.3720E+00 7.3952E+04 1.2509E+06
100 2.5169E+00 7.7514E+04 3.3254E+10
 
  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2655E-06 1.6312E+03 5.5612E+08
  2 1.5986E-06 1.6312E+03 5.0207E+08
  3 2.0159E-06 1.6312E+03 4.5088E+08
  4 2.5375E-06 1.6312E+03 4.0427E+08
  5 3.1884E-06 1.6312E+03 3.6296E+08
  6 3.9991E-06 1.6312E+03 3.2829E+08
  7 5.0071E-06 1.6312E+03 2.9920E+08
  8 6.2580E-06 1.6312E+03 2.7397E+08
  9 7.8076E-06 1.6312E+03 2.5198E+08
 10 9.7234E-06 1.6312E+03 2.3275E+08
 11 1.2088E-05 1.6312E+03 2.1579E+08
 12 1.5001E-05 1.6312E+03 2.0070E+08
 13 1.8582E-05 1.6312E+03 1.8710E+08
 14 2.2978E-05 1.6312E+03 1.7470E+08
 15 2.8363E-05 1.6312E+03 1.6327E+08
 16 3.4948E-05 1.6312E+03 1.5264E+08
 17 4.2985E-05 1.6312E+03 1.4268E+08
 18 5.2776E-05 1.6312E+03 1.3332E+08
 19 6.4683E-05 1.6312E+03 1.2449E+08
 20 7.9135E-05 1.6312E+03 1.1619E+08
 21 9.6643E-05 1.6312E+03 1.0838E+08
 22 1.1782E-04 1.6312E+03 1.0107E+08
 23 1.4337E-04 1.6312E+03 9.4235E+07
 24 1.7416E-04 1.6312E+03 8.7872E+07
 25 2.1118E-04 1.6312E+03 8.1956E+07
 26 2.5562E-04 1.6312E+03 7.6464E+07
 27 3.0887E-04 1.6312E+03 7.1368E+07
 28 3.7253E-04 1.6312E+03 6.6639E+07
 29 4.4853E-04 1.6312E+03 6.2251E+07
 30 5.3906E-04 1.6312E+03 5.8178E+07
 31 6.4672E-04 1.6312E+03 5.4396E+07
 32 7.7450E-04 1.6312E+03 5.0883E+07
 33 9.2587E-04 1.6312E+03 4.7619E+07
 34 1.1049E-03 1.6312E+03 4.4585E+07
 35 1.3161E-03 1.6312E+03 4.1762E+07
 36 1.5650E-03 1.6312E+03 3.9135E+07
 37 1.8576E-03 1.6312E+03 3.6687E+07
 38 2.2010E-03 1.6312E+03 3.4406E+07
 39 2.6032E-03 1.6312E+03 3.2278E+07
 40 3.0735E-03 1.6312E+03 3.0292E+07
 41 3.6223E-03 1.6312E+03 2.8437E+07
 42 4.2615E-03 1.6312E+03 2.6704E+07
 43 5.0046E-03 1.6312E+03 2.5085E+07
 44 5.8668E-03 1.6312E+03 2.3570E+07
 45 6.8653E-03 1.6312E+03 2.2152E+07
 46 8.0194E-03 1.6312E+03 2.0825E+07
 47 9.3510E-03 1.6312E+03 1.9583E+07
 48 1.0884E-02 1.6312E+03 1.8420E+07
 49 1.2646E-02 1.6312E+03 1.7330E+07
 50 1.4668E-02 1.6312E+03 1.6309E+07
 51 1.6982E-02 1.6312E+03 1.5351E+07
 52 1.9626E-02 1.6312E+03 1.4453E+07
 53 2.2642E-02 1.6312E+03 1.3611E+07
 54 2.6074E-02 1.6312E+03 1.2819E+07
 55 2.9974E-02 1.6312E+03 1.2076E+07
 56 3.4396E-02 1.6312E+03 1.1377E+07
 57 3.9399E-02 1.7451E+03 1.0963E+07
 58 4.5051E-02 2.0232E+03 1.0852E+07
 59 5.1421E-02 2.3331E+03 1.0723E+07
 60 5.8588E-02 2.6791E+03 1.0581E+07
 61 6.6635E-02 3.0629E+03 1.0426E+07
 62 7.5653E-02 3.4820E+03 1.0253E+07
 63 8.5738E-02 3.9288E+03 1.0057E+07
 64 9.6996E-02 4.3940E+03 9.8355E+06
 65 1.0954E-01 4.8662E+03 9.5854E+06
 66 1.2348E-01 5.3335E+03 9.3076E+06
 67 1.3895E-01 5.8007E+03 9.0122E+06
 68 1.5607E-01 6.2756E+03 8.7084E+06
 69 1.7500E-01 6.7654E+03 8.4018E+06
 70 1.9588E-01 7.2732E+03 8.0952E+06
 71 2.1885E-01 7.7977E+03 7.7889E+06
 72 2.4409E-01 8.3342E+03 7.4826E+06
 73 2.7175E-01 8.8765E+03 7.1756E+06
 74 3.0201E-01 9.4187E+03 6.8678E+06
 75 3.3504E-01 9.9569E+03 6.5600E+06
 76 3.7102E-01 1.0488E+04 6.2531E+06
 77 4.1014E-01 1.1011E+04 5.9483E+06
 78 4.5257E-01 1.1523E+04 5.6463E+06
 79 4.9851E-01 1.2016E+04 5.3473E+06
 80 5.4813E-01 1.2444E+04 5.0463E+06
 81 6.0163E-01 1.2921E+04 4.7617E+06
 82 6.5916E-01 4.1785E+04 6.5553E+06
 83 7.2092E-01 4.0653E+04 6.0599E+06
 84 7.8707E-01 4.0776E+04 5.6670E+06
 85 8.5775E-01 4.1613E+04 5.3087E+06
 86 9.3312E-01 4.3114E+04 4.9670E+06
 87 1.0133E+00 4.5168E+04 4.6315E+06
 88 1.0984E+00 4.7696E+04 4.2949E+06
 89 1.1886E+00 5.0426E+04 3.9470E+06
 90 1.2838E+00 5.3148E+04 3.5839E+06
 91 1.3843E+00 5.5904E+04 3.2095E+06
 92 1.4899E+00 5.8862E+04 2.8301E+06
 93 1.6008E+00 6.1885E+04 2.4460E+06
 94 1.7168E+00 6.4829E+04 2.0596E+06
 95 1.8380E+00 6.7490E+04 1.6748E+06
 96 1.9643E+00 6.9766E+04 1.2980E+06
 97 2.0954E+00 7.1673E+04 1.2464E+06
 98 2.2314E+00 7.3223E+04 1.2511E+06
 99 2.3720E+00 7.4066E+04 1.2509E+06
100 2.5169E+00 7.7571E+04 3.3234E+10
 
  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2655E-06 1.6347E+03 5.5375E+08
  2 1.5986E-06 1.6347E+03 4.9934E+08
  3 2.0159E-06 1.6347E+03 4.4853E+08
  4 2.5375E-06 1.6347E+03 4.0476E+08
  5 3.1884E-06 1.6347E+03 3.6465E+08
  6 3.9991E-06 1.6347E+03 3.2864E+08
  7 5.0071E-06 1.6347E+03 2.9868E+08
  8 6.2580E-06 1.6347E+03 2.7337E+08
  9 7.8076E-06 1.6347E+03 2.5133E+08
 10 9.7234E-06 1.6347E+03 2.3210E+08
 11 1.2088E-05 1.6347E+03 2.1519E+08
 12 1.5001E-05 1.6347E+03 2.0014E+08
 13 1.8582E-05 1.6347E+03 1.8661E+08
 14 2.2978E-05 1.6347E+03 1.7429E+08
 15 2.8363E-05 1.6347E+03 1.6295E+08
 16 3.4948E-05 1.6347E+03 1.5239E+08
 17 4.2985E-05 1.6347E+03 1.4251E+08
 18 5.2776E-05 1.6347E+03 1.3321E+08
 19 6.4683E-05 1.6347E+03 1.2444E+08
 20 7.9135E-05 1.6347E+03 1.1617E+08
 21 9.6643E-05 1.6347E+03 1.0838E+08
 22 1.1782E-04 1.6347E+03 1.0109E+08
 23 1.4337E-04 1.6347E+03 9.4263E+07
 24 1.7416E-04 1.6347E+03 8.7902E+07
 25 2.1118E-04 1.6347E+03 8.1987E+07
 26 2.5562E-04 1.6347E+03 7.6494E+07
 27 3.0887E-04 1.6347E+03 7.1395E+07
 28 3.7253E-04 1.6347E+03 6.6665E+07
 29 4.4853E-04 1.6347E+03 6.2274E+07
 30 5.3906E-04 1.6347E+03 5.8200E+07
 31 6.4672E-04 1.6347E+03 5.4416E+07
 32 7.7450E-04 1.6347E+03 5.0902E+07
 33 9.2587E-04 1.6347E+03 4.7637E+07
 34 1.1049E-03 1.6347E+03 4.4602E+07
 35 1.3161E-03 1.6347E+03 4.1778E+07
 36 1.5650E-03 1.6347E+03 3.9151E+07
 37 1.8576E-03 1.6347E+03 3.6703E+07
 38 2.2010E-03 1.6347E+03 3.4421E+07
 39 2.6032E-03 1.6347E+03 3.2293E+07
 40 3.0735E-03 1.6347E+03 3.0306E+07
 41 3.6223E-03 1.6347E+03 2.8451E+07
 42 4.2615E-03 1.6347E+03 2.6718E+07
 43 5.0046E-03 1.6347E+03 2.5097E+07
 44 5.8668E-03 1.6347E+03 2.3581E+07
 45 6.8653E-03 1.6347E+03 2.2163E+07
 46 8.0194E-03 1.6347E+03 2.0836E+07
 47 9.3510E-03 1.6347E+03 1.9593E+07
 48 1.0884E-02 1.6347E+03 1.8429E+07
 49 1.2646E-02 1.6347E+03 1.7338E+07
 50 1.4668E-02 1.6347E+03 1.6317E+07
 51 1.6982E-02 1.6347E+03 1.5359E+07
 52 1.9626E-02 1.6347E+03 1.4461E+07
 53 2.2642E-02 1.6347E+03 1.3617E+07
 54 2.6074E-02 1.6347E+03 1.2826E+07
 55 2.9974E-02 1.6347E+03 1.2082E+07
 56 3.4396E-02 1.7202E+03 1.1578E+07
 57 3.9399E-02 1.9717E+03 1.1416E+07
 58 4.5051E-02 2.2496E+03 1.1240E+07
 59 5.1421E-02 2.5593E+03 1.1057E+07
 60 5.8588E-02 2.9050E+03 1.0869E+07
 61 6.6635E-02 3.2886E+03 1.0674E+07
 62 7.5653E-02 3.7074E+03 1.0468E+07
 63 8.5738E-02 4.1541E+03 1.0244E+07
 64 9.6996E-02 4.6191E+03 9.9990E+06
 65 1.0954E-01 5.0912E+03 9.7295E+06
 66 1.2348E-01 5.5585E+03 9.4352E+06
 67 1.3895E-01 6.0257E+03 9.1260E+06
 68 1.5607E-01 6.5007E+03 8.8100E+06
 69 1.7500E-01 6.9906E+03 8.4928E+06
 70 1.9588E-01 7.4985E+03 8.1768E+06
 71 2.1885E-01 8.0232E+03 7.8623E+06
 72 2.4409E-01 8.5600E+03 7.5486E+06
 73 2.7175E-01 9.1024E+03 7.2350E+06
 74 3.0201E-01 9.6450E+03 6.9215E+06
 75 3.3504E-01 1.0183E+04 6.6085E+06
 76 3.7102E-01 1.0715E+04 6.2971E+06
 77 4.1014E-01 1.1238E+04 5.9882E+06
 78 4.5257E-01 1.1750E+04 5.6825E+06
 79 4.9851E-01 1.2243E+04 5.3802E+06
 80 5.4813E-01 1.2660E+04 5.0752E+06
 81 6.0163E-01 1.3124E+04 4.7864E+06
 82 6.5916E-01 4.2210E+04 6.5762E+06
 83 7.2092E-01 4.0941E+04 6.0722E+06
 84 7.8707E-01 4.1004E+04 5.6756E+06
 85 8.5775E-01 4.1807E+04 5.3152E+06
 86 9.3312E-01 4.3275E+04 4.9716E+06
 87 1.0133E+00 4.5297E+04 4.6344E+06
 88 1.0984E+00 4.7807E+04 4.2969E+06
 89 1.1886E+00 5.0527E+04 3.9485E+06
 90 1.2838E+00 5.3245E+04 3.5850E+06
 91 1.3843E+00 5.5991E+04 3.2103E+06
 92 1.4899E+00 5.8943E+04 2.8306E+06
 93 1.6008E+00 6.1964E+04 2.4463E+06
 94 1.7168E+00 6.4911E+04 2.0599E+06
 95 1.8380E+00 6.7574E+04 1.6750E+06
 96 1.9643E+00 6.9858E+04 1.2982E+06
 97 2.0954E+00 7.1767E+04 1.2465E+06
 98 2.2314E+00 7.3310E+04 1.2512E+06
 99 2.3720E+00 7.4146E+04 1.2510E+06
100 2.5169E+00 7.7631E+04 3.3209E+10
 
  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2655E-06 1.6348E+03 5.5918E+08
  2 1.5986E-06 1.6348E+03 5.0225E+08
  3 2.0159E-06 1.6348E+03 4.4612E+08
  4 2.5375E-06 1.6348E+03 4.0269E+08
  5 3.1884E-06 1.6348E+03 3.6468E+08
  6 3.9991E-06 1.6348E+03 3.2912E+08
  7 5.0071E-06 1.6348E+03 2.9842E+08
  8 6.2580E-06 1.6348E+03 2.7267E+08
  9 7.8076E-06 1.6348E+03 2.5062E+08
 10 9.7234E-06 1.6348E+03 2.3137E+08
 11 1.2088E-05 1.6348E+03 2.1447E+08
 12 1.5001E-05 1.6348E+03 1.9948E+08
 13 1.8582E-05 1.6348E+03 1.8603E+08
 14 2.2978E-05 1.6348E+03 1.7379E+08
 15 2.8363E-05 1.6348E+03 1.6253E+08
 16 3.4948E-05 1.6348E+03 1.5205E+08
 17 4.2985E-05 1.6348E+03 1.4224E+08
 18 5.2776E-05 1.6348E+03 1.3301E+08
 19 6.4683E-05 1.6348E+03 1.2429E+08
 20 7.9135E-05 1.6348E+03 1.1606E+08
 21 9.6643E-05 1.6348E+03 1.0831E+08
 22 1.1782E-04 1.6348E+03 1.0103E+08
 23 1.4337E-04 1.6348E+03 9.4224E+07
 24 1.7416E-04 1.6348E+03 8.7873E+07
 25 2.1118E-04 1.6348E+03 8.1962E+07
 26 2.5562E-04 1.6348E+03 7.6471E+07
 27 3.0887E-04 1.6348E+03 7.1374E+07
 28 3.7253E-04 1.6348E+03 6.6644E+07
 29 4.4853E-04 1.6348E+03 6.2255E+07
 30 5.3906E-04 1.6348E+03 5.8181E+07
 31 6.4672E-04 1.6348E+03 5.4399E+07
 32 7.7450E-04 1.6348E+03 5.0886E+07
 33 9.2587E-04 1.6348E+03 4.7622E+07
 34 1.1049E-03 1.6348E+03 4.4588E+07
 35 1.3161E-03 1.6348E+03 4.1766E+07
 36 1.5650E-03 1.6348E+03 3.9140E+07
 37 1.8576E-03 1.6348E+03 3.6693E+07
 38 2.2010E-03 1.6348E+03 3.4413E+07
 39 2.6032E-03 1.6348E+03 3.2286E+07
 40 3.0735E-03 1.6348E+03 3.0300E+07
 41 3.6223E-03 1.6348E+03 2.8445E+07
 42 4.2615E-03 1.6348E+03 2.6713E+07
 43 5.0046E-03 1.6348E+03 2.5093E+07
 44 5.8668E-03 1.6348E+03 2.3577E+07
 45 6.8653E-03 1.6348E+03 2.2159E+07
 46 8.0194E-03 1.6348E+03 2.0832E+07
 47 9.3510E-03 1.6348E+03 1.9589E+07
 48 1.0884E-02 1.6348E+03 1.8425E+07
 49 1.2646E-02 1.6348E+03 1.7335E+07
 50 1.4668E-02 1.6348E+03 1.6314E+07
 51 1.6982E-02 1.6348E+03 1.5356E+07
 52 1.9626E-02 1.6348E+03 1.4458E+07
 53 2.2642E-02 1.6348E+03 1.3615E+07
 54 2.6074E-02 1.6348E+03 1.2824E+07
 55 2.9974E-02 1.6348E+03 1.2080E+07
 56 3.4396E-02 1.7695E+03 1.1685E+07
 57 3.9399E-02 2.0205E+03 1.1508E+07
 58 4.5051E-02 2.2981E+03 1.1319E+07
 59 5.1421E-02 2.6074E+03 1.1124E+07
 60 5.8588E-02 2.9527E+03 1.0926E+07
 61 6.6635E-02 3.3359E+03 1.0723E+07
 62 7.5653E-02 3.7542E+03 1.0510E+07
 63 8.5738E-02 4.2004E+03 1.0281E+07
 64 9.6996E-02 4.6649E+03 1.0030E+07
 65 1.0954E-01 5.1367E+03 9.7569E+06
 66 1.2348E-01 5.6036E+03 9.4594E+06
 67 1.3895E-01 6.0705E+03 9.1474E+06
 68 1.5607E-01 6.5453E+03 8.8290E+06
 69 1.7500E-01 7.0349E+03 8.5096E+06
 70 1.9588E-01 7.5426E+03 8.1918E+06
 71 2.1885E-01 8.0670E+03 7.8756E+06
 72 2.4409E-01 8.6035E+03 7.5605E+06
 73 2.7175E-01 9.1456E+03 7.2456E+06
 74 3.0201E-01 9.6878E+03 6.9309E+06
 75 3.3504E-01 1.0226E+04 6.6169E+06
 76 3.7102E-01 1.0757E+04 6.3045E+06
 77 4.1014E-01 1.1279E+04 5.9948E+06
 78 4.5257E-01 1.1790E+04 5.6884E+06
 79 4.9851E-01 1.2282E+04 5.3856E+06
 80 5.4813E-01 1.2693E+04 5.0796E+06
 81 6.0163E-01 1.3151E+04 4.7897E+06
 82 6.5916E-01 4.2308E+04 6.5802E+06
 83 7.2092E-01 4.1015E+04 6.0740E+06
 84 7.8707E-01 4.1070E+04 5.6771E+06
 85 8.5775E-01 4.1867E+04 5.3163E+06
 86 9.3312E-01 4.3330E+04 4.9724E+06
 87 1.0133E+00 4.5343E+04 4.6348E+06
 88 1.0984E+00 4.7848E+04 4.2971E+06
 89 1.1886E+00 5.0567E+04 3.9485E+06
 90 1.2838E+00 5.3286E+04 3.5850E+06
 91 1.3843E+00 5.6029E+04 3.2102E+06
 92 1.4899E+00 5.8979E+04 2.8305E+06
 93 1.6008E+00 6.1999E+04 2.4462E+06
 94 1.7168E+00 6.4948E+04 2.0598E+06
 95 1.8380E+00 6.7611E+04 1.6749E+06
 96 1.9643E+00 6.9900E+04 1.2982E+06
 97 2.0954E+00 7.1810E+04 1.2465E+06
 98 2.2314E+00 7.3349E+04 1.2511E+06
 99 2.3720E+00 7.4181E+04 1.2509E+06
100 2.5169E+00 7.7656E+04 3.3193E+10
 
  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2655E-06 1.6350E+03 5.5863E+08
  2 1.5986E-06 1.6350E+03 5.0399E+08
  3 2.0159E-06 1.6350E+03 4.4843E+08
  4 2.5375E-06 1.6350E+03 4.0237E+08
  5 3.1884E-06 1.6350E+03 3.6411E+08
  6 3.9991E-06 1.6350E+03 3.2929E+08
  7 5.0071E-06 1.6350E+03 2.9853E+08
  8 6.2580E-06 1.6350E+03 2.7253E+08
  9 7.8076E-06 1.6350E+03 2.5037E+08
 10 9.7234E-06 1.6350E+03 2.3112E+08
 11 1.2088E-05 1.6350E+03 2.1421E+08
 12 1.5001E-05 1.6350E+03 1.9923E+08
 13 1.8582E-05 1.6350E+03 1.8579E+08
 14 2.2978E-05 1.6350E+03 1.7357E+08
 15 2.8363E-05 1.6350E+03 1.6232E+08
 16 3.4948E-05 1.6350E+03 1.5188E+08
 17 4.2985E-05 1.6350E+03 1.4210E+08
 18 5.2776E-05 1.6350E+03 1.3289E+08
 19 6.4683E-05 1.6350E+03 1.2420E+08
 20 7.9135E-05 1.6350E+03 1.1599E+08
 21 9.6643E-05 1.6350E+03 1.0826E+08
 22 1.1782E-04 1.6350E+03 1.0100E+08
 23 1.4337E-04 1.6350E+03 9.4199E+07
 24 1.7416E-04 1.6350E+03 8.7854E+07
 25 2.1118E-04 1.6350E+03 8.1948E+07
 26 2.5562E-04 1.6350E+03 7.6459E+07
 27 3.0887E-04 1.6350E+03 7.1363E+07
 28 3.7253E-04 1.6350E+03 6.6634E+07
 29 4.4853E-04 1.6350E+03 6.2246E+07
