 NST=     1

  J  FUPIR_clear  FUPSOLTOT_clear  FDNIR_clear  FDNSOLTOT_clear  FUPIR_cloudy  FUPSOLTOT_cloudy  FDNIR_cloudy  FDNSOLTOT_cloudy
  6   2.470E+05   4.409E+04   1.118E+01   3.418E+05   9.044E+04   3.141E+05   1.117E+01   3.418E+05
  7   2.470E+05   4.409E+04   1.455E+01   3.418E+05   9.044E+04   3.141E+05   1.457E+01   3.418E+05
  8   2.470E+05   4.409E+04   1.848E+01   3.418E+05   9.044E+04   3.141E+05   1.849E+01   3.418E+05
  9   2.470E+05   4.409E+04   2.297E+01   3.418E+05   9.044E+04   3.141E+05   2.298E+01   3.418E+05
 10   2.470E+05   4.409E+04   2.804E+01   3.418E+05   9.044E+04   3.141E+05   2.804E+01   3.418E+05
 11   2.470E+05   4.409E+04   3.369E+01   3.418E+05   9.044E+04   3.141E+05   3.369E+01   3.418E+05
 12   2.470E+05   4.409E+04   3.989E+01   3.418E+05   9.044E+04   3.141E+05   3.990E+01   3.418E+05
 13   2.470E+05   4.409E+04   4.654E+01   3.418E+05   9.044E+04   3.141E+05   4.654E+01   3.418E+05
 14   2.470E+05   4.409E+04   5.347E+01   3.418E+05   9.044E+04   3.141E+05   5.348E+01   3.418E+05
 15   2.470E+05   4.409E+04   6.048E+01   3.417E+05   9.044E+04   3.141E+05   6.048E+01   3.417E+05
 16   2.470E+05   4.409E+04   6.729E+01   3.417E+05   9.044E+04   3.141E+05   6.729E+01   3.417E+05
 17   2.470E+05   4.409E+04   7.365E+01   3.417E+05   9.044E+04   3.141E+05   7.365E+01   3.417E+05
 18   2.470E+05   4.409E+04   7.935E+01   3.417E+05   9.044E+04   3.141E+05   7.935E+01   3.417E+05
 19   2.470E+05   4.409E+04   8.430E+01   3.417E+05   9.044E+04   3.141E+05   8.430E+01   3.417E+05
 20   2.470E+05   4.409E+04   8.856E+01   3.417E+05   9.044E+04   3.141E+05   8.855E+01   3.417E+05
 21   2.470E+05   4.409E+04   9.230E+01   3.417E+05   9.044E+04   3.141E+05   9.230E+01   3.417E+05
 22   2.470E+05   4.409E+04   9.583E+01   3.417E+05   9.044E+04   3.141E+05   9.583E+01   3.417E+05
 23   2.470E+05   4.409E+04   9.944E+01   3.417E+05   9.044E+04   3.141E+05   9.943E+01   3.417E+05
 24   2.470E+05   4.409E+04   1.034E+02   3.417E+05   9.044E+04   3.141E+05   1.034E+02   3.417E+05
 25   2.470E+05   4.409E+04   1.081E+02   3.417E+05   9.044E+04   3.141E+05   1.081E+02   3.417E+05
 26   2.470E+05   4.409E+04   1.137E+02   3.417E+05   9.044E+04   3.141E+05   1.136E+02   3.417E+05
 27   2.470E+05   4.409E+04   1.204E+02   3.417E+05   9.044E+04   3.141E+05   1.204E+02   3.417E+05
 28   2.470E+05   4.409E+04   1.285E+02   3.417E+05   9.044E+04   3.141E+05   1.285E+02   3.417E+05
 29   2.470E+05   4.409E+04   1.383E+02   3.417E+05   9.044E+04   3.141E+05   1.383E+02   3.417E+05
 30   2.470E+05   4.409E+04   1.502E+02   3.417E+05   9.044E+04   3.141E+05   1.502E+02   3.417E+05
 31   2.470E+05   4.409E+04   1.646E+02   3.417E+05   9.044E+04   3.141E+05   1.646E+02   3.417E+05
 32   2.470E+05   4.408E+04   1.819E+02   3.417E+05   9.044E+04   3.141E+05   1.819E+02   3.417E+05
 33   2.470E+05   4.408E+04   2.027E+02   3.417E+05   9.044E+04   3.141E+05   2.027E+02   3.417E+05
 34   2.470E+05   4.408E+04   2.273E+02   3.417E+05   9.044E+04   3.141E+05   2.273E+02   3.417E+05
 35   2.470E+05   4.408E+04   2.562E+02   3.417E+05   9.044E+04   3.141E+05   2.562E+02   3.417E+05
 36   2.470E+05   4.407E+04   2.898E+02   3.416E+05   9.044E+04   3.141E+05   2.898E+02   3.417E+05
 37   2.470E+05   4.407E+04   3.279E+02   3.416E+05   9.044E+04   3.141E+05   3.279E+02   3.416E+05
 38   2.470E+05   4.407E+04   3.707E+02   3.416E+05   9.044E+04   3.141E+05   3.707E+02   3.416E+05
 39   2.470E+05   4.406E+04   4.181E+02   3.416E+05   9.044E+04   3.141E+05   4.181E+02   3.416E+05
 40   2.470E+05   4.405E+04   4.706E+02   3.415E+05   9.044E+04   3.141E+05   4.706E+02   3.416E+05
 41   2.470E+05   4.405E+04   5.291E+02   3.415E+05   9.044E+04   3.141E+05   5.291E+02   3.415E+05
 42   2.470E+05   4.404E+04   5.948E+02   3.415E+05   9.044E+04   3.141E+05   5.948E+02   3.415E+05
 43   2.470E+05   4.403E+04   6.690E+02   3.414E+05   9.044E+04   3.141E+05   6.690E+02   3.415E+05
 44   2.470E+05   4.402E+04   7.530E+02   3.414E+05   9.044E+04   3.141E+05   7.530E+02   3.414E+05
 45   2.470E+05   4.400E+04   8.480E+02   3.413E+05   9.044E+04   3.141E+05   8.480E+02   3.414E+05
 46   2.470E+05   4.399E+04   9.563E+02   3.412E+05   9.044E+04   3.141E+05   9.563E+02   3.413E+05
 47   2.470E+05   4.397E+04   1.081E+03   3.412E+05   9.044E+04   3.141E+05   1.081E+03   3.412E+05
 48   2.470E+05   4.395E+04   1.226E+03   3.411E+05   9.044E+04   3.141E+05   1.226E+03   3.412E+05
 49   2.470E+05   4.393E+04   1.395E+03   3.410E+05   9.044E+04   3.141E+05   1.395E+03   3.411E+05
 50   2.471E+05   4.390E+04   1.587E+03   3.408E+05   9.044E+04   3.140E+05   1.587E+03   3.410E+05
 51   2.471E+05   4.387E+04   1.802E+03   3.407E+05   9.044E+04   3.140E+05   1.802E+03   3.409E+05
 52   2.471E+05   4.383E+04   2.039E+03   3.406E+05   9.044E+04   3.140E+05   2.039E+03   3.408E+05
 53   2.471E+05   4.379E+04   2.299E+03   3.405E+05   9.044E+04   3.140E+05   2.299E+03   3.406E+05
 54   2.471E+05   4.375E+04   2.578E+03   3.403E+05   9.044E+04   3.140E+05   2.578E+03   3.405E+05
 55   2.471E+05   4.370E+04   2.877E+03   3.402E+05   9.044E+04   3.140E+05   2.877E+03   3.404E+05
 56   2.471E+05   4.364E+04   3.199E+03   3.400E+05   9.044E+04   3.140E+05   3.199E+03   3.403E+05
 57   2.471E+05   4.357E+04   3.547E+03   3.398E+05   9.044E+04   3.139E+05   3.546E+03   3.402E+05
 58   2.471E+05   4.349E+04   3.925E+03   3.396E+05   9.044E+04   3.139E+05   3.925E+03   3.400E+05
 59   2.471E+05   4.341E+04   4.337E+03   3.394E+05   9.044E+04   3.139E+05   4.337E+03   3.399E+05
 60   2.471E+05   4.332E+04   4.787E+03   3.392E+05   9.044E+04   3.138E+05   4.787E+03   3.397E+05
 61   2.471E+05   4.321E+04   5.275E+03   3.389E+05   9.044E+04   3.138E+05   5.275E+03   3.395E+05
 62   2.471E+05   4.309E+04   5.799E+03   3.387E+05   9.045E+04   3.138E+05   5.799E+03   3.394E+05
 63   2.471E+05   4.296E+04   6.355E+03   3.384E+05   9.045E+04   3.137E+05   6.355E+03   3.392E+05
 64   2.471E+05   4.281E+04   6.935E+03   3.382E+05   9.045E+04   3.137E+05   6.935E+03   3.390E+05
 65   2.472E+05   4.265E+04   7.529E+03   3.379E+05   9.045E+04   3.136E+05   7.529E+03   3.389E+05
 66   2.472E+05   4.247E+04   8.131E+03   3.376E+05   9.045E+04   3.136E+05   8.131E+03   3.387E+05
 67   2.472E+05   4.227E+04   8.728E+03   3.373E+05   9.045E+04   3.135E+05   8.728E+03   3.385E+05
 68   2.473E+05   4.205E+04   9.329E+03   3.370E+05   9.045E+04   3.135E+05   9.329E+03   3.383E+05
