     ALT          P          T          FH2O           O3           THEAT        TCOOL        PSATCO2        FCO2
 5.4088E+00   5.2273E-01  2.0092E+02    3.4616E-06    0.0000E+00    7.8786E-02   -2.8316E-01    1.6945E+00    3.6000E-04
 5.1305E+00   5.7426E-01  2.0149E+02    3.5538E-06    0.0000E+00    1.4129E+00   -1.1109E+01    1.7705E+00    3.6000E-04
 4.8565E+00   6.2974E-01  2.0230E+02    3.7293E-06    0.0000E+00    3.7659E-01   -1.9540E-01    1.8837E+00    3.6000E-04
 4.5868E+00   6.8935E-01  2.0308E+02    3.8292E-06    0.0000E+00    1.3964E-01    8.5683E-02    1.9988E+00    3.6000E-04
 4.3206E+00   7.5327E-01  2.0506E+02    4.6866E-06    0.0000E+00    8.0596E-02   -2.1657E-02    2.3164E+00    3.6000E-04
 4.0552E+00   8.2165E-01  2.1026E+02    9.0132E-06    0.0000E+00    1.0659E-01   -2.7732E-01    3.3721E+00    3.6000E-04
 3.7887E+00   8.9464E-01  2.1549E+02    1.6782E-05    0.0000E+00    1.4090E-01   -4.3489E-01    4.8231E+00    3.6000E-04
 3.5214E+00   9.7238E-01  2.2071E+02    3.0285E-05    0.0000E+00    1.8559E-01   -5.6761E-01    6.1786E+00    3.6000E-04
 3.2535E+00   1.0550E+00  2.2593E+02    5.3018E-05    0.0000E+00    1.9187E-01   -6.5179E-01    7.6318E+00    3.6000E-04
 2.9854E+00   1.1426E+00  2.3112E+02    9.0086E-05    0.0000E+00    2.1879E-01   -7.0474E-01    9.3193E+00    3.6000E-04
 2.7174E+00   1.2353E+00  2.3627E+02    1.4860E-04    0.0000E+00    2.4697E-01   -7.2360E-01    1.1253E+01    3.6000E-04
 2.4498E+00   1.3331E+00  2.4136E+02    2.3792E-04    0.0000E+00    2.8803E-01   -7.2713E-01    1.3438E+01    3.6000E-04
 2.1829E+00   1.4361E+00  2.4635E+02    3.6961E-04    0.0000E+00    2.8375E-01   -7.3814E-01    1.5872E+01    3.6000E-04
 1.9172E+00   1.5444E+00  2.5122E+02    5.5684E-04    0.0000E+00    2.8863E-01   -7.4444E-01    1.8542E+01    3.6000E-04
 1.6529E+00   1.6578E+00  2.5593E+02    8.1318E-04    0.0000E+00    2.9442E-01   -7.3136E-01    2.1427E+01    3.6000E-04
 1.3906E+00   1.7764E+00  2.6046E+02    1.1510E-03    0.0000E+00    3.0065E-01   -6.9536E-01    2.4494E+01    3.6000E-04
 1.1307E+00   1.9001E+00  2.6478E+02    1.5796E-03    0.0000E+00    2.9054E-01   -6.2875E-01    2.7707E+01    3.6000E-04
 8.7351E-01   2.0288E+00  2.6887E+02    2.1040E-03    0.0000E+00    2.8553E-01   -5.4708E-01    3.1026E+01    3.6000E-04
 6.1958E-01   2.1624E+00  2.7272E+02    2.7244E-03    0.0000E+00    2.6752E-01   -4.6309E-01    3.4414E+01    3.6000E-04
 3.6921E-01   2.3006E+00  2.7655E+02    3.4281E-03    0.0000E+00    2.5218E-01   -3.4573E-01    3.8044E+01    3.6000E-04
 1.2266E-01   2.4434E+00  2.8022E+02    4.1725E-03    0.0000E+00    2.4830E-01   -6.7043E-01    4.1790E+01    3.6000E-04
 0.0000E+00   2.5169E+00  2.8199E+02    4.5505E-03    0.0000E+00    0.0000E+00    0.0000E+00    4.3692E+01    3.6000E-04
